date,time,cluster_size,address,day_type
2023-05-29,02:00:00,1,Resorts World Sentosa,weekday
2023-05-29,02:00:00,1,Sentosa Gateway,weekday
2023-05-29,02:00:00,1,Ironside Road,weekday
2023-05-29,02:00:00,4,Ironside Link,weekday
2023-05-29,02:00:00,8,Gateway Avenue,weekday
2023-05-29,02:00:00,1,Gateway Avenue,weekday
2023-05-29,02:00:00,1,Sentosa Gateway,weekday
2023-05-29,02:00:00,1,Sentosa Gateway,weekday
2023-05-29,02:01:00,1,Universal Studios Singapore,weekday
2023-05-29,02:01:00,1,Ironside Road,weekday
2023-05-29,02:01:00,1,Universal Studios Singapore,weekday
2023-05-29,02:01:00,4,Ironside Link,weekday
2023-05-29,02:01:00,7,Gateway Avenue,weekday
2023-05-29,02:01:00,1,Serapong Course,weekday
2023-05-29,02:01:00,1,Serapong Course,weekday
2023-05-29,02:01:00,1,Sentosa Gateway,weekday
2023-05-29,02:01:00,1,Sentosa Gateway,weekday
2023-05-29,02:02:00,1,Resorts World Sentosa,weekday
2023-05-29,02:02:00,1,Ironside Road,weekday
2023-05-29,02:02:00,4,Ironside Link,weekday
2023-05-29,02:02:00,8,Gateway Avenue,weekday
2023-05-29,02:02:00,1,Serapong Course,weekday
2023-05-29,02:02:00,1,Serapong Course,weekday
2023-05-29,02:03:00,1,Silk Road of the Sea,weekday
2023-05-29,02:03:00,1,Mess Hall,weekday
2023-05-29,02:03:00,1,Resorts World Sentosa,weekday
2023-05-29,02:03:00,5,Ironside Link,weekday
2023-05-29,02:03:00,1,Resorts World Sentosa,weekday
2023-05-29,02:03:00,5,Gateway Avenue,weekday
2023-05-29,02:04:00,1,Resorts World Sentosa,weekday
2023-05-29,02:04:00,1,Silk Road of the Sea,weekday
2023-05-29,02:04:00,1,Mess Hall,weekday
2023-05-29,02:04:00,1,Sentosa Boardwalk,weekday
2023-05-29,02:04:00,5,Ironside Link,weekday
2023-05-29,02:04:00,4,Gateway Avenue,weekday
2023-05-29,02:04:00,1,Gateway Avenue,weekday
2023-05-29,02:04:00,1,Sentosa Cove,weekday
2023-05-29,02:04:00,1,Sentosa Gateway,weekday
2023-05-29,02:04:00,1,Sentosa Gateway,weekday
2023-05-29,02:05:00,1,Resorts World Sentosa,weekday
2023-05-29,02:05:00,1,Sentosa Boardwalk,weekday
2023-05-29,02:05:00,1,Sentosa Boardwalk,weekday
2023-05-29,02:05:00,1,Sentosa Gateway,weekday
2023-05-29,02:05:00,1,Universal Studios Singapore,weekday
2023-05-29,02:05:00,1,Ironside Link,weekday
2023-05-29,02:05:00,4,Gateway Avenue,weekday
2023-05-29,02:05:00,1,Allanbrooke Road,weekday
2023-05-29,02:05:00,1,Sentosa Gateway,weekday
2023-05-29,02:06:00,1,Resorts World Sentosa,weekday
2023-05-29,02:06:00,1,Universal Studios Singapore,weekday
2023-05-29,02:06:00,1,Sentosa Gateway,weekday
2023-05-29,02:06:00,1,Universal Studios Singapore,weekday
2023-05-29,02:06:00,4,Ironside Link,weekday
2023-05-29,02:06:00,7,Gateway Avenue,weekday
2023-05-29,02:06:00,1,Allanbrooke Road,weekday
2023-05-29,02:06:00,1,Ocean Drive,weekday
2023-05-29,02:06:00,1,Sentosa Gateway,weekday
2023-05-29,02:06:00,1,Sentosa Gateway,weekday
2023-05-29,02:06:00,1,Sentosa Gateway,weekday
2023-05-29,02:07:00,1,Artillery Avenue,weekday
2023-05-29,02:07:00,1,Resorts World Sentosa,weekday
2023-05-29,02:07:00,2,Sentosa Gateway,weekday
2023-05-29,02:07:00,1,Universal Studios Singapore,weekday
2023-05-29,02:07:00,2,Ironside Link,weekday
