index,date,time,cluster_size,address,day_type
0,2023-05-28,04:00:30,1,Siloso Point Station,weekend
1,2023-05-28,04:00:30,1,Southern Islands,weekend
2,2023-05-28,04:01:00,1,Siloso Point Station,weekend
3,2023-05-28,04:01:00,1,Southern Islands,weekend
4,2023-05-28,04:01:30,1,Siloso Point Station,weekend
5,2023-05-28,04:01:30,1,Southern Islands,weekend
6,2023-05-28,04:02:00,1,Siloso Point Station,weekend
7,2023-05-28,04:02:00,1,Southern Islands,weekend
8,2023-05-28,04:02:30,1,Siloso Point Station,weekend
9,2023-05-28,04:02:30,1,Southern Islands,weekend
10,2023-05-28,04:03:00,1,Siloso Point Station,weekend
11,2023-05-28,04:03:00,1,Southern Islands,weekend
12,2023-05-28,04:03:30,1,Siloso Point Station,weekend
13,2023-05-28,04:03:30,1,Southern Islands,weekend
14,2023-05-28,04:04:00,1,Siloso Point Station,weekend
15,2023-05-28,04:04:00,1,Southern Islands,weekend
16,2023-05-28,04:04:30,1,Siloso Point Station,weekend
17,2023-05-28,04:04:30,1,Southern Islands,weekend
18,2023-05-28,04:05:00,1,Siloso Point Station,weekend
19,2023-05-28,04:05:00,1,Southern Islands,weekend
20,2023-05-28,04:05:30,1,Siloso Point Station,weekend
21,2023-05-28,04:05:30,1,Southern Islands,weekend
22,2023-05-28,04:06:00,1,Siloso Point Station,weekend
23,2023-05-28,04:06:00,1,Southern Islands,weekend
24,2023-05-28,04:06:30,1,Siloso Point Station,weekend
25,2023-05-28,04:06:30,1,Southern Islands,weekend
26,2023-05-28,04:07:00,1,Siloso Point Station,weekend
27,2023-05-28,04:07:00,1,Southern Islands,weekend
28,2023-05-28,04:07:30,1,Siloso Point Station,weekend
29,2023-05-28,04:07:30,1,Southern Islands,weekend
30,2023-05-28,04:08:00,1,Siloso Point Station,weekend
31,2023-05-28,04:08:00,1,Southern Islands,weekend
32,2023-05-28,04:08:30,1,Siloso Point Station,weekend
33,2023-05-28,04:08:30,1,Southern Islands,weekend
34,2023-05-28,04:09:00,1,Siloso Point Station,weekend
35,2023-05-28,04:09:00,1,Southern Islands,weekend
36,2023-05-28,04:09:30,1,"8 Sentosa Gateway, 098269",weekend
37,2023-05-28,04:10:00,2,"8 Sentosa Gateway, 098269",weekend
38,2023-05-28,04:10:00,1,Gateway Avenue,weekend
39,2023-05-28,04:10:30,1,"8 Sentosa Gateway, 098269",weekend
40,2023-05-28,04:10:30,1,Gateway Avenue,weekend
41,2023-05-28,04:10:30,2,Capella Hotel,weekend
42,2023-05-28,04:10:30,1,"Sentosa (1.247220, 103.837270)",weekend
43,2023-05-28,04:11:00,1,Southern Islands,weekend
44,2023-05-28,04:11:00,2,Capella Hotel,weekend
45,2023-05-28,04:11:00,1,"Sentosa (1.247220, 103.837270)",weekend
46,2023-05-28,04:11:30,2,Gateway Avenue,weekend
47,2023-05-28,04:11:30,1,Capella Hotel,weekend
48,2023-05-28,04:12:00,2,Gateway Avenue,weekend
49,2023-05-28,04:12:00,1,Capella Hotel,weekend
50,2023-05-28,04:12:30,1,"8 Sentosa Gateway, 098269",weekend
51,2023-05-28,04:12:30,2,Capella Hotel,weekend
52,2023-05-28,04:13:00,1,"8 Sentosa Gateway, 098269",weekend
53,2023-05-28,04:13:00,2,Capella Hotel,weekend
54,2023-05-28,04:13:30,1,Gateway Avenue,weekend
55,2023-05-28,04:14:00,1,Gateway Avenue,weekend
56,2023-05-28,04:14:30,1,"Sentosa (1.249102, 103.827567)",weekend
57,2023-05-28,04:15:00,1,"Sentosa (1.249102, 103.827567)",weekend
58,2023-05-28,04:15:30,1,Gateway Avenue,weekend
59,2023-05-28,04:15:30,1,Capella Hotel,weekend
60,2023-05-28,04:16:00,1,Gateway Avenue,weekend
61,2023-05-28,04:16:00,1,Capella Hotel,weekend
62,2023-05-28,04:16:30,1,Gateway Avenue,weekend
63,2023-05-28,04:16:30,1,Capella Hotel,weekend
64,2023-05-28,04:17:00,1,Capella Hotel,weekend
65,2023-05-28,04:17:30,1,Capella Hotel,weekend
66,2023-05-28,04:18:00,1,Shangri-La Rasa,weekend
67,2023-05-28,04:18:00,1,Capella Hotel,weekend
68,2023-05-28,04:18:00,1,"1 Cove Ave, 098537",weekend
69,2023-05-28,04:18:30,1,Shangri-La Rasa,weekend
70,2023-05-28,04:18:30,1,Capella Hotel,weekend
71,2023-05-28,04:18:30,1,"1 Cove Ave, 098537",weekend
72,2023-05-28,04:19:00,1,Straits of Singapore,weekend
73,2023-05-28,04:19:00,1,Siloso Road,weekend
74,2023-05-28,04:19:00,1,Capella Hotel,weekend
75,2023-05-28,04:19:00,1,"Southern Islands (1.246219, 103.835062)",weekend
76,2023-05-28,04:19:30,1,Straits of Singapore,weekend
77,2023-05-28,04:19:30,1,Siloso Road,weekend
78,2023-05-28,04:19:30,1,Capella Hotel,weekend
79,2023-05-28,04:19:30,1,"Southern Islands (1.246219, 103.835062)",weekend
80,2023-05-28,04:20:00,1,Sentosa Gateway,weekend
81,2023-05-28,04:20:00,1,Capella Hotel,weekend
82,2023-05-28,04:20:00,1,"Sentosa (1.247220, 103.837270)",weekend
83,2023-05-28,04:20:30,1,Sentosa Gateway,weekend
84,2023-05-28,04:20:30,1,Capella Hotel,weekend
85,2023-05-28,04:20:30,1,"Sentosa (1.247220, 103.837270)",weekend
86,2023-05-28,04:21:00,2,Capella Hotel,weekend
87,2023-05-28,04:21:00,1,"Sentosa (1.247220, 103.837270)",weekend
88,2023-05-28,04:21:30,1,Siloso Road,weekend
89,2023-05-28,04:21:30,2,Capella Hotel,weekend
90,2023-05-28,04:21:30,1,"Sentosa (1.249103, 103.827715)",weekend
91,2023-05-28,04:21:30,1,"Sentosa (1.247220, 103.837270)",weekend
