index,date,time,cluster_size,address,day_type
0,2023-05-28,16:01:00,1,Straits of Singapore,weekend
1,2023-05-28,16:01:00,3,Southern Islands,weekend
2,2023-05-28,16:01:00,1,Resorts World,weekend
3,2023-05-28,16:01:00,3,Capella Hotel ,weekend
4,2023-05-28,16:01:00,1,Allanbrooke Road,weekend
5,2023-05-28,16:01:00,1,Allanbrooke Road,weekend
6,2023-05-28,16:01:00,1,Allanbrooke Road,weekend
7,2023-05-28,16:01:00,1,Ocean Drive,weekend
8,2023-05-28,16:01:00,1,Ocean Way,weekend
9,2023-05-28,16:02:00,1,Gateway Avenue,weekend
10,2023-05-28,16:02:00,2,Resorts World,weekend
11,2023-05-28,16:02:00,2,Capella Hotel ,weekend
12,2023-05-28,16:02:00,1,Allanbrooke Road,weekend
13,2023-05-28,16:02:00,1,Allanbrooke Road,weekend
14,2023-05-28,16:02:00,1,Tanjong Beach Walk,weekend
15,2023-05-28,16:03:00,1,Straits of Singapore,weekend
16,2023-05-28,16:03:00,2,Resorts World,weekend
17,2023-05-28,16:03:00,1,Allanbrooke Road,weekend
18,2023-05-28,16:03:00,1,Tanjong Beach Walk,weekend
19,2023-05-28,16:03:00,1,Allanbrooke Road,weekend
20,2023-05-28,16:03:00,1,Ocean Drive,weekend
21,2023-05-28,16:04:00,1,Imbiah Walk,weekend
22,2023-05-28,16:04:00,1,Resorts World,weekend
23,2023-05-28,16:04:00,2,Capella Hotel ,weekend
24,2023-05-28,16:04:00,1,Allanbrooke Road,weekend
25,2023-05-28,16:04:00,1,Tanjong Beach Walk,weekend
26,2023-05-28,16:04:00,1,Allanbrooke Road,weekend
27,2023-05-28,16:04:00,1,Ocean Drive,weekend
28,2023-05-28,16:05:00,1,Siloso Carpark,weekend
29,2023-05-28,16:05:00,1,Artillery Avenue,weekend
30,2023-05-28,16:05:00,1,Artillery Avenue,weekend
31,2023-05-28,16:05:00,2,Capella Hotel ,weekend
32,2023-05-28,16:05:00,1,Allanbrooke Road,weekend
33,2023-05-28,16:05:00,1,Allanbrooke Road,weekend
34,2023-05-28,16:05:00,1,Ocean Drive,weekend
35,2023-05-28,16:05:00,1,Ocean Drive,weekend
36,2023-05-28,16:06:00,2,Straits of Singapore,weekend
37,2023-05-28,16:06:00,1,Gateway Avenue,weekend
38,2023-05-28,16:06:00,1,Siloso Road,weekend
39,2023-05-28,16:06:00,1,Siloso Road,weekend
40,2023-05-28,16:06:00,1,Artillery Avenue,weekend
41,2023-05-28,16:06:00,2,Capella Hotel ,weekend
42,2023-05-28,16:06:00,1,Bukit Manis Road,weekend
43,2023-05-28,16:06:00,1,Allanbrooke Road,weekend
44,2023-05-28,16:06:00,1,Ocean Drive,weekend
45,2023-05-28,16:06:00,1,Ocean Drive,weekend
46,2023-05-28,16:07:00,2,Straits of Singapore,weekend
47,2023-05-28,16:07:00,2,Gateway Avenue,weekend
48,2023-05-28,16:07:00,1,Siloso Road,weekend
49,2023-05-28,16:07:00,1,Siloso Road,weekend
50,2023-05-28,16:07:00,1,Artillery Avenue,weekend
51,2023-05-28,16:07:00,2,Capella Hotel ,weekend
52,2023-05-28,16:07:00,1,Bukit Manis Road,weekend
53,2023-05-28,16:07:00,1,Allanbrooke Road,weekend
54,2023-05-28,16:07:00,1,Ocean Drive,weekend
55,2023-05-28,16:07:00,1,Ocean Drive,weekend
56,2023-05-28,16:08:00,3,Sentosa Gateway,weekend
57,2023-05-28,16:08:00,1,Gateway Avenue,weekend
58,2023-05-28,16:08:00,1,Siloso Road,weekend
59,2023-05-28,16:08:00,1,Siloso Road,weekend
60,2023-05-28,16:08:00,1,Resorts World,weekend
61,2023-05-28,16:08:00,3,Capella Hotel ,weekend
62,2023-05-28,16:08:00,1,Ocean Drive,weekend
63,2023-05-28,16:08:00,1,Ocean Drive,weekend
64,2023-05-28,16:08:00,1,Sentosa Cove,weekend
65,2023-05-28,16:09:00,1,Siloso Road,weekend
66,2023-05-28,16:09:00,1,Resorts World,weekend
67,2023-05-28,16:09:00,1,Gateway Avenue,weekend
68,2023-05-28,16:09:00,1,Gateway Avenue,weekend
69,2023-05-28,16:09:00,1,Artillery Avenue,weekend
70,2023-05-28,16:09:00,3,Capella Hotel ,weekend
71,2023-05-28,16:09:00,1,Sentosa Golf Club,weekend
72,2023-05-28,16:09:00,1,Allanbrooke Road,weekend
73,2023-05-28,16:09:00,1,Ocean Drive,weekend
74,2023-05-28,16:09:00,1,Ocean Drive,weekend
75,2023-05-28,16:10:00,2,Straits of Singapore,weekend
76,2023-05-28,16:10:00,1,Shangri-La Rasa,weekend
77,2023-05-28,16:10:00,1,Resorts World,weekend
78,2023-05-28,16:10:00,1,Gateway Avenue,weekend
79,2023-05-28,16:10:00,1,Southern Islands,weekend
80,2023-05-28,16:10:00,1,Gateway Avenue,weekend
81,2023-05-28,16:10:00,2,Capella Hotel ,weekend
82,2023-05-28,16:10:00,1,Bukit Manis Road,weekend
83,2023-05-28,16:10:00,1,Allanbrooke Road,weekend
84,2023-05-28,16:10:00,1,Cove Avenue,weekend
85,2023-05-28,16:10:00,1,Ocean Drive,weekend
86,2023-05-28,16:10:00,1,Ocean Drive,weekend
87,2023-05-28,16:10:00,1,Ocean Drive,weekend
88,2023-05-28,16:11:00,1,Sentosa Gateway,weekend
89,2023-05-28,16:11:00,1,Straits of Singapore,weekend
90,2023-05-28,16:11:00,3,Gateway Avenue,weekend
91,2023-05-28,16:11:00,1,Southern Islands,weekend
92,2023-05-28,16:11:00,2,Shangri-La Rasa,weekend
93,2023-05-28,16:11:00,1,Resorts World,weekend
94,2023-05-28,16:11:00,2,Capella Hotel ,weekend
95,2023-05-28,16:11:00,1,Allanbrooke Road,weekend
96,2023-05-28,16:11:00,1,Allanbrooke Road,weekend
97,2023-05-28,16:11:00,1,Ocean Drive,weekend
98,2023-05-28,16:11:00,1,Ocean Drive,weekend
99,2023-05-28,16:12:00,2,Straits of Singapore,weekend
100,2023-05-28,16:12:00,2,Siloso Road,weekend
101,2023-05-28,16:12:00,1,Resorts World,weekend
102,2023-05-28,16:12:00,1,Gateway Avenue,weekend
103,2023-05-28,16:12:00,2,Capella Hotel ,weekend
104,2023-05-28,16:12:00,1,Allanbrooke Road,weekend
105,2023-05-28,16:12:00,1,Allanbrooke Road,weekend
106,2023-05-28,16:12:00,1,Ocean Drive,weekend
107,2023-05-28,16:12:00,1,Ocean Drive,weekend
108,2023-05-28,16:12:00,1,Ocean Drive,weekend
109,2023-05-28,16:13:00,2,Sentosa Gateway,weekend
110,2023-05-28,16:13:00,2,Siloso Road,weekend
