date,time,cluster_size,address,day_type
2018-12-25,21:00:00,1,"T4 Flyover, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,1,"East Coast Parkway, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,2,"East Coast Parkway, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,1,"East Coast Parkway, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,2,"Airport Boulevard, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,1,"T4 Crescent, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,1,"Airport Boulevard, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,1,"T4 Crescent, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,1,"Airport Boulevard, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,3,"T4 Departure Drive, Changi, Southeast, 819665, Singapore",holiday
2018-12-25,21:00:00,1,"Changi Airport Aircraft Flyover, Airport Boulevard, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,1,"Airport Boulevard, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,1,"Airport Boulevard, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,1,"T4 Underpass, Changi, Southeast, 819659, Singapore",holiday
2018-12-25,21:00:00,1,"T4 Underpass, Changi, Southeast, 819659, Singapore",holiday
2018-12-25,21:00:00,1,"T4 Crescent, Changi, Southeast, 819645, Singapore",holiday
2018-12-25,21:00:00,1,"Changi Airport Connector, Changi, Southeast, 819658, Singapore",holiday
2018-12-25,21:00:00,1,"Airport Boulevard, Changi, Southeast, 819658, Singapore",holiday
2018-12-25,21:00:00,1,"T4 Flyover, Changi, Southeast, 819659, Singapore",holiday
2018-12-25,21:00:00,1,"Changi Airport Terminal 3, 65, Airport Boulevard, Changi, Singapore, Southeast, 819663, Singapore",holiday
