date,hour,avg_taxi_drivers,max_cluster_size
2019-12-21,00,519.38,33
2019-12-21,01,324.25,29
2019-12-21,02,147.27,12
2019-12-21,03,124.02,13
2019-12-21,04,206.48,22
2019-12-21,05,279.15,22
2019-12-21,06,328.25,27
2019-12-21,07,357.38,28
2019-12-21,08,352.32,30
2019-12-21,09,241.77,25
2019-12-21,10,292.67,26
2019-12-21,11,360.2,38
2019-12-21,12,343.13,38
2019-12-21,13,256.28,36
2019-12-21,14,350.85,43
2019-12-21,15,399.12,35
2019-12-21,16,240.6,21
2019-12-21,17,326.83,44
2019-12-21,18,389.47,34
2019-12-21,19,447.08,30
2019-12-21,20,472.05,35
2019-12-21,21,526.33,48
2019-12-21,22,0,0
2019-12-21,23,0,0
