date_time,day_type,hawker_center,taxi_counts
2023-05-01 16:00:00,holiday,ABC Brickworks,87
2023-05-01 17:00:00,holiday,ABC Brickworks,82
2023-05-01 18:00:00,holiday,ABC Brickworks,82
2023-05-01 19:00:00,holiday,ABC Brickworks,93
2023-05-01 20:00:00,holiday,ABC Brickworks,62
2023-05-02 16:00:00,weekday,ABC Brickworks,104
2023-05-02 17:00:00,weekday,ABC Brickworks,96
2023-05-02 18:00:00,weekday,ABC Brickworks,57
2023-05-02 19:00:00,weekday,ABC Brickworks,83
2023-05-02 20:00:00,weekday,ABC Brickworks,101
2023-05-03 16:00:00,weekday,ABC Brickworks,86
2023-05-03 17:00:00,weekday,ABC Brickworks,107
2023-05-03 18:00:00,weekday,ABC Brickworks,109
2023-05-03 19:00:00,weekday,ABC Brickworks,126
2023-05-03 20:00:00,weekday,ABC Brickworks,119
2023-05-04 16:00:00,weekday,ABC Brickworks,136
2023-05-04 17:00:00,weekday,ABC Brickworks,83
2023-05-04 18:00:00,weekday,ABC Brickworks,81
2023-05-04 19:00:00,weekday,ABC Brickworks,62
2023-05-04 20:00:00,weekday,ABC Brickworks,108
2023-05-05 16:00:00,weekday,ABC Brickworks,135
2023-05-05 17:00:00,weekday,ABC Brickworks,101
2023-05-05 18:00:00,weekday,ABC Brickworks,83
2023-05-05 19:00:00,weekday,ABC Brickworks,80
2023-05-05 20:00:00,weekday,ABC Brickworks,125
2023-05-06 16:00:00,weekend,ABC Brickworks,30
2023-05-06 17:00:00,weekend,ABC Brickworks,96
2023-05-06 18:00:00,weekend,ABC Brickworks,98
2023-05-06 19:00:00,weekend,ABC Brickworks,89
2023-05-06 20:00:00,weekend,ABC Brickworks,104
2023-05-07 16:00:00,weekend,ABC Brickworks,132
2023-05-07 17:00:00,weekend,ABC Brickworks,94
2023-05-07 18:00:00,weekend,ABC Brickworks,113
2023-05-07 19:00:00,weekend,ABC Brickworks,112
2023-05-07 20:00:00,weekend,ABC Brickworks,36
2023-05-08 16:00:00,weekday,ABC Brickworks,207
2023-05-08 17:00:00,weekday,ABC Brickworks,138
2023-05-08 18:00:00,weekday,ABC Brickworks,161
2023-05-08 19:00:00,weekday,ABC Brickworks,130
2023-05-08 20:00:00,weekday,ABC Brickworks,100
2023-05-09 16:00:00,weekday,ABC Brickworks,82
2023-05-09 17:00:00,weekday,ABC Brickworks,96
2023-05-09 18:00:00,weekday,ABC Brickworks,72
2023-05-09 19:00:00,weekday,ABC Brickworks,40
2023-05-09 20:00:00,weekday,ABC Brickworks,70
2023-05-10 16:00:00,weekday,ABC Brickworks,140
2023-05-10 17:00:00,weekday,ABC Brickworks,112
2023-05-10 18:00:00,weekday,ABC Brickworks,92
2023-05-10 19:00:00,weekday,ABC Brickworks,73
2023-05-10 20:00:00,weekday,ABC Brickworks,108
2023-05-11 16:00:00,weekday,ABC Brickworks,161
2023-05-11 17:00:00,weekday,ABC Brickworks,103
2023-05-11 18:00:00,weekday,ABC Brickworks,72
2023-05-11 19:00:00,weekday,ABC Brickworks,92
2023-05-11 20:00:00,weekday,ABC Brickworks,164
2023-05-12 16:00:00,weekday,ABC Brickworks,63
2023-05-12 17:00:00,weekday,ABC Brickworks,85
2023-05-12 18:00:00,weekday,ABC Brickworks,81
2023-05-12 19:00:00,weekday,ABC Brickworks,50
2023-05-12 20:00:00,weekday,ABC Brickworks,156
2023-05-13 16:00:00,weekend,ABC Brickworks,108
2023-05-13 17:00:00,weekend,ABC Brickworks,86
2023-05-13 18:00:00,weekend,ABC Brickworks,81
2023-05-13 19:00:00,weekend,ABC Brickworks,76
2023-05-13 20:00:00,weekend,ABC Brickworks,73
2023-05-14 16:00:00,weekend,ABC Brickworks,80
2023-05-14 17:00:00,weekend,ABC Brickworks,66
2023-05-14 18:00:00,weekend,ABC Brickworks,67
2023-05-14 19:00:00,weekend,ABC Brickworks,78
2023-05-14 20:00:00,weekday,ABC Brickworks,59
2023-05-15 16:00:00,weekday,ABC Brickworks,146
2023-05-15 17:00:00,weekday,ABC Brickworks,94
2023-05-15 18:00:00,weekday,ABC Brickworks,78
2023-05-15 19:00:00,weekday,ABC Brickworks,120
2023-05-15 20:00:00,weekday,ABC Brickworks,131
2023-05-16 16:00:00,weekday,ABC Brickworks,152
2023-05-16 17:00:00,weekday,ABC Brickworks,91
2023-05-16 18:00:00,weekday,ABC Brickworks,88
2023-05-16 19:00:00,weekday,ABC Brickworks,81
2023-05-16 20:00:00,weekday,ABC Brickworks,133
2023-05-17 16:00:00,weekday,ABC Brickworks,101
2023-05-17 17:00:00,weekday,ABC Brickworks,101
2023-05-17 18:00:00,weekday,ABC Brickworks,90
2023-05-17 19:00:00,weekday,ABC Brickworks,101
2023-05-17 20:00:00,weekday,ABC Brickworks,121
2023-05-18 16:00:00,weekday,ABC Brickworks,118
2023-05-18 17:00:00,weekday,ABC Brickworks,82
2023-05-18 18:00:00,weekday,ABC Brickworks,78
2023-05-18 19:00:00,weekday,ABC Brickworks,74
2023-05-18 20:00:00,weekday,ABC Brickworks,153
2023-05-19 16:00:00,weekday,ABC Brickworks,98
2023-05-19 17:00:00,weekday,ABC Brickworks,90
2023-05-19 18:00:00,weekday,ABC Brickworks,76
2023-05-19 19:00:00,weekday,ABC Brickworks,80
2023-05-19 20:00:00,weekday,ABC Brickworks,109
2023-05-20 16:00:00,weekend,ABC Brickworks,57
2023-05-20 17:00:00,weekend,ABC Brickworks,64
2023-05-20 18:00:00,weekend,ABC Brickworks,86
2023-05-20 19:00:00,weekend,ABC Brickworks,92
2023-05-20 20:00:00,weekend,ABC Brickworks,99
2023-05-21 16:00:00,weekend,ABC Brickworks,124
2023-05-21 17:00:00,weekend,ABC Brickworks,99
2023-05-21 18:00:00,weekend,ABC Brickworks,75
2023-05-21 19:00:00,weekend,ABC Brickworks,101
2023-05-21 20:00:00,weekend,ABC Brickworks,85
2023-05-22 16:00:00,weekday,ABC Brickworks,131
2023-05-22 17:00:00,weekday,ABC Brickworks,92
2023-05-22 18:00:00,weekday,ABC Brickworks,83
2023-05-22 19:00:00,weekday,ABC Brickworks,139
2023-05-22 20:00:00,weekday,ABC Brickworks,158
2023-05-23 16:00:00,weekday,ABC Brickworks,105
2023-05-23 17:00:00,weekday,ABC Brickworks,70
2023-05-23 18:00:00,weekday,ABC Brickworks,63
2023-05-23 19:00:00,weekday,ABC Brickworks,67
2023-05-23 20:00:00,weekday,ABC Brickworks,93
2023-05-24 16:00:00,weekday,ABC Brickworks,163
2023-05-24 17:00:00,weekday,ABC Brickworks,108
2023-05-24 18:00:00,weekday,ABC Brickworks,78
2023-05-24 19:00:00,weekday,ABC Brickworks,81
2023-05-24 20:00:00,weekday,ABC Brickworks,129
2023-05-25 16:00:00,weekday,ABC Brickworks,95
2023-05-25 17:00:00,weekday,ABC Brickworks,73
2023-05-25 18:00:00,weekday,ABC Brickworks,51
2023-05-25 19:00:00,weekday,ABC Brickworks,54
2023-05-25 20:00:00,weekday,ABC Brickworks,85
2023-05-26 16:00:00,weekday,ABC Brickworks,81
2023-05-26 17:00:00,weekday,ABC Brickworks,83
2023-05-26 18:00:00,weekday,ABC Brickworks,80
2023-05-26 19:00:00,weekday,ABC Brickworks,75
2023-05-26 20:00:00,weekday,ABC Brickworks,98
2023-05-27 16:00:00,weekend,ABC Brickworks,89
2023-05-27 17:00:00,weekend,ABC Brickworks,78
2023-05-27 18:00:00,weekend,ABC Brickworks,76
2023-05-27 19:00:00,weekend,ABC Brickworks,76
2023-05-27 20:00:00,weekend,ABC Brickworks,78
2023-05-28 16:00:00,weekend,ABC Brickworks,93
2023-05-28 17:00:00,weekend,ABC Brickworks,75
2023-05-28 18:00:00,weekend,ABC Brickworks,87
2023-05-28 19:00:00,weekend,ABC Brickworks,89
2023-05-28 20:00:00,weekend,ABC Brickworks,80
2023-05-29 16:00:00,weekday,ABC Brickworks,103
2023-05-29 17:00:00,weekday,ABC Brickworks,93
2023-05-29 18:00:00,weekday,ABC Brickworks,63
2023-05-29 19:00:00,weekday,ABC Brickworks,111
2023-05-29 20:00:00,weekday,ABC Brickworks,118
2023-05-30 16:00:00,weekday,ABC Brickworks,128
2023-05-30 17:00:00,weekday,ABC Brickworks,95
2023-05-30 18:00:00,weekday,ABC Brickworks,86
2023-05-30 19:00:00,weekday,ABC Brickworks,80
2023-05-30 20:00:00,weekday,ABC Brickworks,102
2023-05-31 16:00:00,weekday,ABC Brickworks,92
2023-05-31 17:00:00,weekday,ABC Brickworks,53
2023-05-31 18:00:00,weekday,ABC Brickworks,77
2023-05-31 19:00:00,weekday,ABC Brickworks,56
2023-05-31 20:00:00,weekday,ABC Brickworks,83
2023-05-01 16:00:00,holiday,Maxwell,135
2023-05-01 17:00:00,holiday,Maxwell,138
2023-05-01 18:00:00,holiday,Maxwell,166
2023-05-01 19:00:00,holiday,Maxwell,221
2023-05-01 20:00:00,holiday,Maxwell,137
2023-05-02 16:00:00,weekday,Maxwell,216
2023-05-02 17:00:00,weekday,Maxwell,285
2023-05-02 18:00:00,weekday,Maxwell,165
2023-05-02 19:00:00,weekday,Maxwell,159
2023-05-02 20:00:00,weekday,Maxwell,192
2023-05-03 16:00:00,weekday,Maxwell,182
2023-05-03 17:00:00,weekday,Maxwell,252
2023-05-03 18:00:00,weekday,Maxwell,291
2023-05-03 19:00:00,weekday,Maxwell,316
2023-05-03 20:00:00,weekday,Maxwell,352
2023-05-04 16:00:00,weekday,Maxwell,244
2023-05-04 17:00:00,weekday,Maxwell,166
2023-05-04 18:00:00,weekday,Maxwell,144
2023-05-04 19:00:00,weekday,Maxwell,147
2023-05-04 20:00:00,weekday,Maxwell,294
2023-05-05 16:00:00,weekday,Maxwell,229
2023-05-05 17:00:00,weekday,Maxwell,204
2023-05-05 18:00:00,weekday,Maxwell,194
2023-05-05 19:00:00,weekday,Maxwell,239
2023-05-05 20:00:00,weekday,Maxwell,489
2023-05-06 16:00:00,weekend,Maxwell,38
2023-05-06 17:00:00,weekend,Maxwell,140
2023-05-06 18:00:00,weekend,Maxwell,166
2023-05-06 19:00:00,weekend,Maxwell,181
2023-05-06 20:00:00,weekend,Maxwell,248
2023-05-07 16:00:00,weekend,Maxwell,188
2023-05-07 17:00:00,weekend,Maxwell,147
2023-05-07 18:00:00,weekend,Maxwell,164
2023-05-07 19:00:00,weekend,Maxwell,185
2023-05-07 20:00:00,weekend,Maxwell,62
2023-05-08 16:00:00,weekday,Maxwell,350
2023-05-08 17:00:00,weekday,Maxwell,209
2023-05-08 18:00:00,weekday,Maxwell,261
2023-05-08 19:00:00,weekday,Maxwell,227
2023-05-08 20:00:00,weekday,Maxwell,218
2023-05-09 16:00:00,weekday,Maxwell,116
2023-05-09 17:00:00,weekday,Maxwell,173
2023-05-09 18:00:00,weekday,Maxwell,174
2023-05-09 19:00:00,weekday,Maxwell,87
2023-05-09 20:00:00,weekday,Maxwell,207
2023-05-10 16:00:00,weekday,Maxwell,225
2023-05-10 17:00:00,weekday,Maxwell,200
2023-05-10 18:00:00,weekday,Maxwell,199
2023-05-10 19:00:00,weekday,Maxwell,192
2023-05-10 20:00:00,weekday,Maxwell,306
2023-05-11 16:00:00,weekday,Maxwell,199
2023-05-11 17:00:00,weekday,Maxwell,203
2023-05-11 18:00:00,weekday,Maxwell,161
2023-05-11 19:00:00,weekday,Maxwell,214
2023-05-11 20:00:00,weekday,Maxwell,365
2023-05-12 16:00:00,weekday,Maxwell,94
2023-05-12 17:00:00,weekday,Maxwell,202
2023-05-12 18:00:00,weekday,Maxwell,169
2023-05-12 19:00:00,weekday,Maxwell,160
2023-05-12 20:00:00,weekday,Maxwell,414
2023-05-13 16:00:00,weekend,Maxwell,143
2023-05-13 17:00:00,weekend,Maxwell,138
2023-05-13 18:00:00,weekend,Maxwell,185
2023-05-13 19:00:00,weekend,Maxwell,198
2023-05-13 20:00:00,weekend,Maxwell,268
2023-05-14 16:00:00,weekend,Maxwell,121
2023-05-14 17:00:00,weekend,Maxwell,127
2023-05-14 18:00:00,weekend,Maxwell,165
2023-05-14 19:00:00,weekend,Maxwell,203
2023-05-14 20:00:00,weekday,Maxwell,158
2023-05-15 16:00:00,weekday,Maxwell,240
2023-05-15 17:00:00,weekday,Maxwell,179
2023-05-15 18:00:00,weekday,Maxwell,235
2023-05-15 19:00:00,weekday,Maxwell,306
2023-05-15 20:00:00,weekday,Maxwell,344
2023-05-16 16:00:00,weekday,Maxwell,204
2023-05-16 17:00:00,weekday,Maxwell,192
2023-05-16 18:00:00,weekday,Maxwell,168
2023-05-16 19:00:00,weekday,Maxwell,186
2023-05-16 20:00:00,weekday,Maxwell,377
2023-05-17 16:00:00,weekday,Maxwell,182
2023-05-17 17:00:00,weekday,Maxwell,195
2023-05-17 18:00:00,weekday,Maxwell,204
2023-05-17 19:00:00,weekday,Maxwell,218
2023-05-17 20:00:00,weekday,Maxwell,319
2023-05-18 16:00:00,weekday,Maxwell,191
2023-05-18 17:00:00,weekday,Maxwell,143
2023-05-18 18:00:00,weekday,Maxwell,168
2023-05-18 19:00:00,weekday,Maxwell,204
2023-05-18 20:00:00,weekday,Maxwell,410
2023-05-19 16:00:00,weekday,Maxwell,152
2023-05-19 17:00:00,weekday,Maxwell,164
2023-05-19 18:00:00,weekday,Maxwell,143
2023-05-19 19:00:00,weekday,Maxwell,174
2023-05-19 20:00:00,weekday,Maxwell,469
2023-05-20 16:00:00,weekend,Maxwell,79
2023-05-20 17:00:00,weekend,Maxwell,81
2023-05-20 18:00:00,weekend,Maxwell,177
2023-05-20 19:00:00,weekend,Maxwell,242
2023-05-20 20:00:00,weekend,Maxwell,321
2023-05-21 16:00:00,weekend,Maxwell,173
2023-05-21 17:00:00,weekend,Maxwell,160
2023-05-21 18:00:00,weekend,Maxwell,187
2023-05-21 19:00:00,weekend,Maxwell,254
2023-05-21 20:00:00,weekend,Maxwell,185
2023-05-22 16:00:00,weekday,Maxwell,216
2023-05-22 17:00:00,weekday,Maxwell,191
2023-05-22 18:00:00,weekday,Maxwell,149
2023-05-22 19:00:00,weekday,Maxwell,288
2023-05-22 20:00:00,weekday,Maxwell,388
2023-05-23 16:00:00,weekday,Maxwell,175
2023-05-23 17:00:00,weekday,Maxwell,126
2023-05-23 18:00:00,weekday,Maxwell,134
2023-05-23 19:00:00,weekday,Maxwell,158
2023-05-23 20:00:00,weekday,Maxwell,232
2023-05-24 16:00:00,weekday,Maxwell,286
2023-05-24 17:00:00,weekday,Maxwell,198
2023-05-24 18:00:00,weekday,Maxwell,153
2023-05-24 19:00:00,weekday,Maxwell,172
2023-05-24 20:00:00,weekday,Maxwell,361
2023-05-25 16:00:00,weekday,Maxwell,141
2023-05-25 17:00:00,weekday,Maxwell,151
2023-05-25 18:00:00,weekday,Maxwell,121
2023-05-25 19:00:00,weekday,Maxwell,176
2023-05-25 20:00:00,weekday,Maxwell,268
2023-05-26 16:00:00,weekday,Maxwell,174
2023-05-26 17:00:00,weekday,Maxwell,131
2023-05-26 18:00:00,weekday,Maxwell,154
2023-05-26 19:00:00,weekday,Maxwell,181
2023-05-26 20:00:00,weekday,Maxwell,364
2023-05-27 16:00:00,weekend,Maxwell,139
2023-05-27 17:00:00,weekend,Maxwell,122
2023-05-27 18:00:00,weekend,Maxwell,162
2023-05-27 19:00:00,weekend,Maxwell,234
2023-05-27 20:00:00,weekend,Maxwell,255
2023-05-28 16:00:00,weekend,Maxwell,157
2023-05-28 17:00:00,weekend,Maxwell,118
2023-05-28 18:00:00,weekend,Maxwell,176
2023-05-28 19:00:00,weekend,Maxwell,220
2023-05-28 20:00:00,weekend,Maxwell,165
2023-05-29 16:00:00,weekday,Maxwell,192
2023-05-29 17:00:00,weekday,Maxwell,159
2023-05-29 18:00:00,weekday,Maxwell,162
2023-05-29 19:00:00,weekday,Maxwell,320
2023-05-29 20:00:00,weekday,Maxwell,331
2023-05-30 16:00:00,weekday,Maxwell,177
2023-05-30 17:00:00,weekday,Maxwell,151
2023-05-30 18:00:00,weekday,Maxwell,162
2023-05-30 19:00:00,weekday,Maxwell,206
2023-05-30 20:00:00,weekday,Maxwell,278
2023-05-31 16:00:00,weekday,Maxwell,139
2023-05-31 17:00:00,weekday,Maxwell,107
2023-05-31 18:00:00,weekday,Maxwell,127
2023-05-31 19:00:00,weekday,Maxwell,162
