date_time,day_type,hawker_center,taxi_counts
2023-06-01 10:00:00,weekday,Maxwell,185
2023-06-01 11:00:00,weekday,Maxwell,257
2023-06-01 12:00:00,weekday,Maxwell,206
2023-06-01 13:00:00,weekday,Maxwell,226
2023-06-01 14:00:00,weekday,Maxwell,112
2023-06-01 10:00:00,weekday,Hong Lim,194
2023-06-01 11:00:00,weekday,Hong Lim,268
2023-06-01 12:00:00,weekday,Hong Lim,227
2023-06-01 13:00:00,weekday,Hong Lim,238
2023-06-01 14:00:00,weekday,Hong Lim,128
2023-06-01 10:00:00,weekday,ABC Brickworks,99
2023-06-01 11:00:00,weekday,ABC Brickworks,170
2023-06-01 12:00:00,weekday,ABC Brickworks,146
2023-06-01 13:00:00,weekday,ABC Brickworks,139
2023-06-01 14:00:00,weekday,ABC Brickworks,88
2023-06-02 10:00:00,holiday,Maxwell,155
2023-06-02 11:00:00,holiday,Maxwell,146
2023-06-02 12:00:00,holiday,Maxwell,198
2023-06-02 13:00:00,holiday,Maxwell,218
2023-06-02 14:00:00,holiday,Maxwell,196
2023-06-02 10:00:00,holiday,ABC Brickworks,100
2023-06-02 11:00:00,holiday,ABC Brickworks,84
2023-06-02 12:00:00,holiday,ABC Brickworks,116
2023-06-02 13:00:00,holiday,ABC Brickworks,138
2023-06-02 14:00:00,holiday,ABC Brickworks,124
2023-06-02 10:00:00,holiday,Hong Lim,160
2023-06-02 11:00:00,holiday,Hong Lim,152
2023-06-02 12:00:00,holiday,Hong Lim,217
2023-06-02 13:00:00,holiday,Hong Lim,233
2023-06-02 14:00:00,holiday,Hong Lim,214
2023-06-03 10:00:00,weekend,Hong Lim,111
2023-06-03 11:00:00,weekend,Hong Lim,99
2023-06-03 12:00:00,weekend,Hong Lim,107
2023-06-03 13:00:00,weekend,Hong Lim,113
2023-06-03 14:00:00,weekend,Hong Lim,115
2023-06-03 10:00:00,weekend,ABC Brickworks,51
2023-06-03 11:00:00,weekend,ABC Brickworks,54
2023-06-03 12:00:00,weekend,ABC Brickworks,58
2023-06-03 13:00:00,weekend,ABC Brickworks,64
2023-06-03 14:00:00,weekend,ABC Brickworks,78
2023-06-03 10:00:00,weekend,Maxwell,100
2023-06-03 11:00:00,weekend,Maxwell,88
2023-06-03 12:00:00,weekend,Maxwell,96
2023-06-03 13:00:00,weekend,Maxwell,96
2023-06-03 14:00:00,weekend,Maxwell,105
2023-06-04 10:00:00,weekend,Maxwell,84
2023-06-04 11:00:00,weekend,Maxwell,95
2023-06-04 12:00:00,weekend,Maxwell,102
2023-06-04 13:00:00,weekend,Maxwell,92
2023-06-04 14:00:00,weekend,Maxwell,100
2023-06-04 10:00:00,weekend,ABC Brickworks,48
2023-06-04 11:00:00,weekend,ABC Brickworks,59
2023-06-04 12:00:00,weekend,ABC Brickworks,64
2023-06-04 13:00:00,weekend,ABC Brickworks,60
2023-06-04 14:00:00,weekend,ABC Brickworks,69
2023-06-04 10:00:00,weekend,Hong Lim,98
2023-06-04 11:00:00,weekend,Hong Lim,98
2023-06-04 12:00:00,weekend,Hong Lim,110
2023-06-04 13:00:00,weekend,Hong Lim,98
2023-06-04 14:00:00,weekend,Hong Lim,111
2023-06-05 10:00:00,weekday,Maxwell,166
2023-06-05 11:00:00,weekday,Maxwell,140
2023-06-05 12:00:00,weekday,Maxwell,146
2023-06-05 13:00:00,weekday,Maxwell,135
2023-06-05 14:00:00,weekday,Maxwell,119
2023-06-05 10:00:00,weekday,ABC Brickworks,100
2023-06-05 11:00:00,weekday,ABC Brickworks,99
2023-06-05 12:00:00,weekday,ABC Brickworks,101
2023-06-05 13:00:00,weekday,ABC Brickworks,94
2023-06-05 14:00:00,weekday,ABC Brickworks,79
2023-06-05 10:00:00,weekday,Hong Lim,192
2023-06-05 11:00:00,weekday,Hong Lim,163
2023-06-05 12:00:00,weekday,Hong Lim,165
2023-06-05 13:00:00,weekday,Hong Lim,148
2023-06-05 14:00:00,weekday,Hong Lim,132
2023-06-06 10:00:00,weekday,Maxwell,277
2023-06-06 11:00:00,weekday,Maxwell,346
2023-06-06 12:00:00,weekday,Maxwell,302
2023-06-06 13:00:00,weekday,Maxwell,367
2023-06-06 14:00:00,weekday,Maxwell,219
2023-06-06 10:00:00,weekday,ABC Brickworks,192
2023-06-06 11:00:00,weekday,ABC Brickworks,225
2023-06-06 12:00:00,weekday,ABC Brickworks,155
2023-06-06 13:00:00,weekday,ABC Brickworks,210
2023-06-06 14:00:00,weekday,ABC Brickworks,151
2023-06-06 10:00:00,weekday,Hong Lim,290
2023-06-06 11:00:00,weekday,Hong Lim,391
2023-06-06 12:00:00,weekday,Hong Lim,335
2023-06-06 13:00:00,weekday,Hong Lim,404
2023-06-06 14:00:00,weekday,Hong Lim,246
2023-06-07 10:00:00,weekday,Maxwell,140
2023-06-07 11:00:00,weekday,Maxwell,128
2023-06-07 12:00:00,weekday,Maxwell,115
2023-06-07 13:00:00,weekday,Maxwell,349
2023-06-07 14:00:00,weekday,Maxwell,216
2023-06-07 10:00:00,weekday,ABC Brickworks,101
2023-06-07 11:00:00,weekday,ABC Brickworks,89
2023-06-07 12:00:00,weekday,ABC Brickworks,91
2023-06-07 13:00:00,weekday,ABC Brickworks,194
2023-06-07 14:00:00,weekday,ABC Brickworks,147
2023-06-07 10:00:00,weekday,Hong Lim,145
2023-06-07 11:00:00,weekday,Hong Lim,152
2023-06-07 12:00:00,weekday,Hong Lim,123
2023-06-07 13:00:00,weekday,Hong Lim,370
2023-06-07 14:00:00,weekday,Hong Lim,246
2023-06-08 10:00:00,weekday,Maxwell,399
2023-06-08 11:00:00,weekday,Maxwell,386
2023-06-08 12:00:00,weekday,Maxwell,294
2023-06-08 13:00:00,weekday,Maxwell,325
2023-06-08 14:00:00,weekday,Maxwell,218
2023-06-08 10:00:00,weekday,ABC Brickworks,218
2023-06-08 11:00:00,weekday,ABC Brickworks,228
2023-06-08 12:00:00,weekday,ABC Brickworks,186
2023-06-08 13:00:00,weekday,ABC Brickworks,164
2023-06-08 14:00:00,weekday,ABC Brickworks,168
2023-06-08 10:00:00,weekday,Hong Lim,412
2023-06-08 11:00:00,weekday,Hong Lim,405
2023-06-08 12:00:00,weekday,Hong Lim,317
2023-06-08 13:00:00,weekday,Hong Lim,365
2023-06-08 14:00:00,weekday,Hong Lim,260
2023-06-09 10:00:00,weekday,Maxwell,162
2023-06-09 11:00:00,weekday,Maxwell,334
2023-06-09 12:00:00,weekday,Maxwell,190
2023-06-09 13:00:00,weekday,Maxwell,318
2023-06-09 14:00:00,weekday,Maxwell,283
2023-06-09 10:00:00,weekday,ABC Brickworks,91
2023-06-09 11:00:00,weekday,ABC Brickworks,231
2023-06-09 12:00:00,weekday,ABC Brickworks,136
2023-06-09 13:00:00,weekday,ABC Brickworks,174
2023-06-09 14:00:00,weekday,ABC Brickworks,182
2023-06-09 10:00:00,weekday,Hong Lim,178
2023-06-09 11:00:00,weekday,Hong Lim,357
2023-06-09 12:00:00,weekday,Hong Lim,220
2023-06-09 13:00:00,weekday,Hong Lim,338
2023-06-09 14:00:00,weekday,Hong Lim,316
2023-06-10 10:00:00,weekend,ABC Brickworks,110
2023-06-10 11:00:00,weekend,ABC Brickworks,176
2023-06-10 12:00:00,weekend,ABC Brickworks,128
2023-06-10 13:00:00,weekend,ABC Brickworks,185
2023-06-10 14:00:00,weekend,ABC Brickworks,177
2023-06-10 10:00:00,weekend,Maxwell,208
2023-06-10 11:00:00,weekend,Maxwell,250
2023-06-10 12:00:00,weekend,Maxwell,187
2023-06-10 13:00:00,weekend,Maxwell,249
2023-06-10 14:00:00,weekend,Maxwell,199
2023-06-10 10:00:00,weekend,Hong Lim,227
2023-06-10 11:00:00,weekend,Hong Lim,265
2023-06-10 12:00:00,weekend,Hong Lim,196
2023-06-10 13:00:00,weekend,Hong Lim,264
2023-06-10 14:00:00,weekend,Hong Lim,207
2023-06-11 10:00:00,weekend,ABC Brickworks,82
2023-06-11 11:00:00,weekend,ABC Brickworks,114
2023-06-11 12:00:00,weekend,ABC Brickworks,139
2023-06-11 13:00:00,weekend,ABC Brickworks,99
2023-06-11 14:00:00,weekend,ABC Brickworks,136
2023-06-11 10:00:00,weekend,Hong Lim,217
2023-06-11 11:00:00,weekend,Hong Lim,224
2023-06-11 12:00:00,weekend,Hong Lim,198
2023-06-11 13:00:00,weekend,Hong Lim,148
2023-06-11 14:00:00,weekend,Hong Lim,243
2023-06-11 10:00:00,weekend,Maxwell,187
2023-06-11 11:00:00,weekend,Maxwell,201
2023-06-11 12:00:00,weekend,Maxwell,191
2023-06-11 13:00:00,weekend,Maxwell,134
2023-06-11 14:00:00,weekend,Maxwell,215
2023-06-12 10:00:00,weekday,Hong Lim,524
2023-06-12 11:00:00,weekday,Hong Lim,406
2023-06-12 12:00:00,weekday,Hong Lim,336
2023-06-12 13:00:00,weekday,Hong Lim,416
2023-06-12 14:00:00,weekday,Hong Lim,314
2023-06-12 10:00:00,weekday,Maxwell,490
2023-06-12 11:00:00,weekday,Maxwell,361
2023-06-12 12:00:00,weekday,Maxwell,303
2023-06-12 13:00:00,weekday,Maxwell,363
2023-06-12 14:00:00,weekday,Maxwell,287
2023-06-12 10:00:00,weekday,ABC Brickworks,351
2023-06-12 11:00:00,weekday,ABC Brickworks,221
2023-06-12 12:00:00,weekday,ABC Brickworks,219
2023-06-12 13:00:00,weekday,ABC Brickworks,199
2023-06-12 14:00:00,weekday,ABC Brickworks,200
2023-06-13 10:00:00,weekday,ABC Brickworks,370
2023-06-13 11:00:00,weekday,ABC Brickworks,314
2023-06-13 12:00:00,weekday,ABC Brickworks,258
2023-06-13 13:00:00,weekday,ABC Brickworks,275
2023-06-13 14:00:00,weekday,ABC Brickworks,235
2023-06-13 10:00:00,weekday,Maxwell,586
2023-06-13 11:00:00,weekday,Maxwell,503
2023-06-13 12:00:00,weekday,Maxwell,412
2023-06-13 13:00:00,weekday,Maxwell,429
2023-06-13 14:00:00,weekday,Maxwell,309
2023-06-13 10:00:00,weekday,Hong Lim,646
2023-06-13 11:00:00,weekday,Hong Lim,595
2023-06-13 12:00:00,weekday,Hong Lim,459
2023-06-13 13:00:00,weekday,Hong Lim,478
2023-06-13 14:00:00,weekday,Hong Lim,335
2023-06-14 10:00:00,weekday,ABC Brickworks,287
2023-06-14 11:00:00,weekday,ABC Brickworks,335
2023-06-14 12:00:00,weekday,ABC Brickworks,288
2023-06-14 13:00:00,weekday,ABC Brickworks,276
2023-06-14 14:00:00,weekday,ABC Brickworks,161
2023-06-14 10:00:00,weekday,Maxwell,522
2023-06-14 11:00:00,weekday,Maxwell,459
2023-06-14 12:00:00,weekday,Maxwell,376
2023-06-14 13:00:00,weekday,Maxwell,450
2023-06-14 14:00:00,weekday,Maxwell,263
2023-06-14 10:00:00,weekday,Hong Lim,562
2023-06-14 11:00:00,weekday,Hong Lim,504
2023-06-14 12:00:00,weekday,Hong Lim,410
2023-06-14 13:00:00,weekday,Hong Lim,486
2023-06-14 14:00:00,weekday,Hong Lim,307
2023-06-15 10:00:00,weekday,Hong Lim,535
2023-06-15 11:00:00,weekday,Hong Lim,549
2023-06-15 12:00:00,weekday,Hong Lim,400
2023-06-15 13:00:00,weekday,Hong Lim,531
2023-06-15 14:00:00,weekday,Hong Lim,326
2023-06-15 10:00:00,weekday,Maxwell,487
2023-06-15 11:00:00,weekday,Maxwell,503
2023-06-15 12:00:00,weekday,Maxwell,356
2023-06-15 13:00:00,weekday,Maxwell,489
2023-06-15 14:00:00,weekday,Maxwell,301
2023-06-15 10:00:00,weekday,ABC Brickworks,306
2023-06-15 11:00:00,weekday,ABC Brickworks,341
2023-06-15 12:00:00,weekday,ABC Brickworks,249
2023-06-15 13:00:00,weekday,ABC Brickworks,292
2023-06-15 14:00:00,weekday,ABC Brickworks,209
2023-06-16 10:00:00,weekday,ABC Brickworks,99
2023-06-16 11:00:00,weekday,ABC Brickworks,158
2023-06-16 12:00:00,weekday,ABC Brickworks,70
2023-06-16 13:00:00,weekday,ABC Brickworks,169
2023-06-16 14:00:00,weekday,ABC Brickworks,188
2023-06-16 10:00:00,weekday,Maxwell,160
2023-06-16 11:00:00,weekday,Maxwell,411
2023-06-16 12:00:00,weekday,Maxwell,118
2023-06-16 13:00:00,weekday,Maxwell,325
2023-06-16 14:00:00,weekday,Maxwell,288
2023-06-16 10:00:00,weekday,Hong Lim,177
2023-06-16 11:00:00,weekday,Hong Lim,442
2023-06-16 12:00:00,weekday,Hong Lim,130
2023-06-16 13:00:00,weekday,Hong Lim,363
2023-06-16 14:00:00,weekday,Hong Lim,313
2023-06-17 10:00:00,weekend,ABC Brickworks,108
2023-06-17 11:00:00,weekend,ABC Brickworks,126
2023-06-17 12:00:00,weekend,ABC Brickworks,152
2023-06-17 13:00:00,weekend,ABC Brickworks,150
2023-06-17 14:00:00,weekend,ABC Brickworks,160
2023-06-17 10:00:00,weekend,Maxwell,180
2023-06-17 11:00:00,weekend,Maxwell,233
2023-06-17 12:00:00,weekend,Maxwell,250
2023-06-17 13:00:00,weekend,Maxwell,219
2023-06-17 14:00:00,weekend,Maxwell,211
2023-06-17 10:00:00,weekend,Hong Lim,201
2023-06-17 11:00:00,weekend,Hong Lim,265
2023-06-17 12:00:00,weekend,Hong Lim,266
2023-06-17 13:00:00,weekend,Hong Lim,232
2023-06-17 14:00:00,weekend,Hong Lim,225
2023-06-18 10:00:00,weekend,ABC Brickworks,73
2023-06-18 11:00:00,weekend,ABC Brickworks,98
2023-06-18 12:00:00,weekend,ABC Brickworks,75
2023-06-18 13:00:00,weekend,ABC Brickworks,113
2023-06-18 14:00:00,weekend,ABC Brickworks,168
2023-06-18 10:00:00,weekend,Maxwell,120
2023-06-18 11:00:00,weekend,Maxwell,172
2023-06-18 12:00:00,weekend,Maxwell,177
2023-06-18 13:00:00,weekend,Maxwell,181
2023-06-18 14:00:00,weekend,Maxwell,188
2023-06-18 10:00:00,weekend,Hong Lim,132
2023-06-18 11:00:00,weekend,Hong Lim,180
2023-06-18 12:00:00,weekend,Hong Lim,191
2023-06-18 13:00:00,weekend,Hong Lim,197
2023-06-18 14:00:00,weekend,Hong Lim,205
2023-06-19 10:00:00,weekday,ABC Brickworks,294
2023-06-19 11:00:00,weekday,ABC Brickworks,332
2023-06-19 12:00:00,weekday,ABC Brickworks,246
2023-06-19 13:00:00,weekday,ABC Brickworks,214
2023-06-19 14:00:00,weekday,ABC Brickworks,171
2023-06-19 10:00:00,weekday,Maxwell,496
2023-06-19 11:00:00,weekday,Maxwell,491
2023-06-19 12:00:00,weekday,Maxwell,356
2023-06-19 13:00:00,weekday,Maxwell,329
2023-06-19 14:00:00,weekday,Maxwell,242
2023-06-19 10:00:00,weekday,Hong Lim,537
2023-06-19 11:00:00,weekday,Hong Lim,531
2023-06-19 12:00:00,weekday,Hong Lim,381
2023-06-19 13:00:00,weekday,Hong Lim,362
2023-06-19 14:00:00,weekday,Hong Lim,277
2023-06-20 10:00:00,weekday,ABC Brickworks,339
2023-06-20 11:00:00,weekday,ABC Brickworks,313
2023-06-20 12:00:00,weekday,ABC Brickworks,133
2023-06-20 13:00:00,weekday,ABC Brickworks,247
2023-06-20 14:00:00,weekday,ABC Brickworks,87
2023-06-20 10:00:00,weekday,Maxwell,606
2023-06-20 11:00:00,weekday,Maxwell,430
2023-06-20 12:00:00,weekday,Maxwell,184
2023-06-20 13:00:00,weekday,Maxwell,466
