date,time,cluster_size,address,day_type
2023-01-19,15:00:00,1,Siloso Road,weekday
2023-01-19,15:00:00,1,Resorts World Sentosa,weekday
2023-01-19,15:00:00,1,Gateway Avenue,weekday
2023-01-19,15:00:00,2,Ironside Link,weekday
2023-01-19,15:00:00,1,Serapong Course,weekday
2023-01-19,15:00:00,1,Serapong Course,weekday
2023-01-19,15:00:00,1,Cove Drive,weekday
2023-01-19,15:01:00,1,Siloso Road,weekday
2023-01-19,15:01:00,1,Serapong Course,weekday
2023-01-19,15:02:00,1,Resorts World Sentosa,weekday
2023-01-19,15:02:00,1,Resorts World Sentosa,weekday
2023-01-19,15:02:00,1,Gateway Avenue,weekday
2023-01-19,15:02:00,1,Cove Drive,weekday
2023-01-19,15:03:00,1,Resorts World Sentosa,weekday
2023-01-19,15:03:00,1,Gateway Avenue,weekday
2023-01-19,15:03:00,1,Cove Drive,weekday
2023-01-19,15:04:00,1,Siloso Beach Resort,weekday
2023-01-19,15:04:00,1,Resorts World Sentosa,weekday
2023-01-19,15:04:00,1,Ironside Link,weekday
2023-01-19,15:04:00,1,Gateway Avenue,weekday
2023-01-19,15:04:00,2,Ironside Link,weekday
2023-01-19,15:05:00,1,Imbiah Walk,weekday
2023-01-19,15:05:00,1,Resorts World Sentosa,weekday
2023-01-19,15:05:00,2,Gateway Avenue,weekday
2023-01-19,15:05:00,3,Ironside Link,weekday
2023-01-19,15:06:00,1,Sentosa Gateway,weekday
2023-01-19,15:06:00,1,Resorts World Sentosa,weekday
2023-01-19,15:06:00,1,Gateway Avenue,weekday
2023-01-19,15:06:00,3,Ironside Link,weekday
2023-01-19,15:07:00,1,Sentosa Gateway,weekday
2023-01-19,15:07:00,3,Ironside Link,weekday
2023-01-19,15:08:00,1,Serapong Course,weekday
2023-01-19,15:08:00,2,Ironside Link,weekday
2023-01-19,15:08:00,1,Serapong Course,weekday
2023-01-19,15:09:00,1,Sentosa Gateway,weekday
2023-01-19,15:09:00,2,Serapong Course,weekday
2023-01-19,15:09:00,2,Ironside Link,weekday
2023-01-19,15:10:00,1,Oasis Resort Sentosa,weekday
2023-01-19,15:10:00,1,Gateway Avenue,weekday
2023-01-19,15:10:00,1,Serapong Course,weekday
2023-01-19,15:10:00,2,Ironside Link,weekday
2023-01-19,15:10:00,1,Ocean Way,weekday
2023-01-19,15:11:00,1,Village Hotel @ Sentosa,weekday
2023-01-19,15:11:00,1,Gateway Avenue,weekday
