date,hour,avg_taxi_drivers,max_cluster_size
2023-06-02,00,5.52,2
2023-06-02,01,5.13,4
2023-06-02,02,3.97,5
2023-06-02,03,3.75,3
2023-06-02,04,3.27,3
2023-06-02,05,2.27,2
2023-06-02,06,2.35,1
2023-06-02,07,5.0,2
2023-06-02,08,4.72,3
2023-06-02,09,5.03,3
2023-06-02,10,12.78,6
2023-06-02,11,13.42,4
2023-06-02,12,9.52,6
2023-06-02,13,9.07,6
2023-06-02,14,11.03,4
2023-06-02,15,8.02,2
2023-06-02,16,7.41,3
2023-06-02,17,8.6,4
2023-06-02,18,6.92,4
2023-06-02,19,12.47,7
2023-06-02,20,11.38,5
2023-06-02,21,7.78,4
2023-06-02,22,8.32,4
2023-06-02,23,6.67,3
