date_time,day_type,hawker_center,taxi_counts
2023-01-10 16:00:00,weekday,Maxwell,225
2023-01-10 17:00:00,weekday,Maxwell,191
2023-01-10 18:00:00,weekday,Maxwell,178
2023-01-10 19:00:00,weekday,Maxwell,157
2023-01-10 20:00:00,weekday,Maxwell,277
2023-01-11 16:00:00,weekday,Maxwell,159
2023-01-11 17:00:00,weekday,Maxwell,183
2023-01-11 18:00:00,weekday,Maxwell,208
2023-01-11 19:00:00,weekday,Maxwell,224
2023-01-11 20:00:00,weekday,Maxwell,284
2023-01-12 16:00:00,weekday,Maxwell,168
2023-01-12 17:00:00,weekday,Maxwell,157
2023-01-12 18:00:00,weekday,Maxwell,186
2023-01-12 19:00:00,weekday,Maxwell,209
2023-01-12 20:00:00,weekday,Maxwell,247
2023-01-13 16:00:00,weekday,Maxwell,142
2023-01-13 17:00:00,weekday,Maxwell,201
2023-01-13 18:00:00,weekday,Maxwell,212
2023-01-13 19:00:00,weekday,Maxwell,263
2023-01-13 20:00:00,weekday,Maxwell,281
2023-01-14 16:00:00,weekend,Maxwell,157
2023-01-14 17:00:00,weekend,Maxwell,147
2023-01-14 18:00:00,weekend,Maxwell,112
2023-01-14 19:00:00,weekend,Maxwell,76
2023-01-14 20:00:00,weekend,Maxwell,15
2023-01-15 16:00:00,weekend,Maxwell,164
2023-01-15 17:00:00,weekend,Maxwell,159
2023-01-15 18:00:00,weekend,Maxwell,161
2023-01-15 19:00:00,weekend,Maxwell,221
2023-01-15 20:00:00,weekend,Maxwell,172
2023-01-16 16:00:00,weekday,Maxwell,134
2023-01-16 17:00:00,weekday,Maxwell,161
2023-01-16 18:00:00,weekday,Maxwell,146
2023-01-16 19:00:00,weekday,Maxwell,70
2023-01-16 20:00:00,weekday,Maxwell,216
2023-01-17 16:00:00,weekday,Maxwell,136
2023-01-17 17:00:00,weekday,Maxwell,148
2023-01-17 18:00:00,weekday,Maxwell,152
2023-01-17 19:00:00,weekday,Maxwell,167
2023-01-17 20:00:00,weekday,Maxwell,174
2023-01-18 16:00:00,weekday,Maxwell,134
2023-01-18 17:00:00,weekday,Maxwell,161
2023-01-18 18:00:00,weekday,Maxwell,149
2023-01-18 19:00:00,weekday,Maxwell,153
2023-01-18 20:00:00,weekday,Maxwell,155
2023-01-19 16:00:00,weekday,Maxwell,119
2023-01-19 17:00:00,weekday,Maxwell,73
2023-01-19 18:00:00,weekday,Maxwell,156
