date_time,day_type,hawker_center,taxi_counts
2023-01-11 10:00:00,weekday,Maxwell,435
2023-01-11 11:00:00,weekday,Maxwell,530
2023-01-11 12:00:00,weekday,Maxwell,168
2023-01-11 13:00:00,weekday,Maxwell,426
2023-01-11 14:00:00,weekday,Maxwell,213
2023-01-12 10:00:00,weekday,Maxwell,398
2023-01-12 11:00:00,weekday,Maxwell,472
2023-01-12 12:00:00,weekday,Maxwell,314
2023-01-12 13:00:00,weekday,Maxwell,422
2023-01-12 14:00:00,weekday,Maxwell,214
2023-01-13 10:00:00,weekday,Maxwell,437
2023-01-13 11:00:00,weekday,Maxwell,377
2023-01-13 12:00:00,weekday,Maxwell,246
2023-01-13 13:00:00,weekday,Maxwell,186
2023-01-13 14:00:00,weekday,Maxwell,184
2023-01-14 10:00:00,weekend,Maxwell,183
2023-01-14 11:00:00,weekend,Maxwell,186
2023-01-14 12:00:00,weekend,Maxwell,179
2023-01-14 13:00:00,weekend,Maxwell,166
2023-01-14 14:00:00,weekend,Maxwell,156
2023-01-15 10:00:00,weekend,Maxwell,153
2023-01-15 11:00:00,weekend,Maxwell,144
2023-01-15 12:00:00,weekend,Maxwell,123
2023-01-15 13:00:00,weekend,Maxwell,154
2023-01-15 14:00:00,weekend,Maxwell,132
2023-01-16 10:00:00,weekday,Maxwell,452
2023-01-16 11:00:00,weekday,Maxwell,409
2023-01-16 12:00:00,weekday,Maxwell,333
2023-01-16 13:00:00,weekday,Maxwell,327
2023-01-16 14:00:00,weekday,Maxwell,179
2023-01-17 10:00:00,weekday,Maxwell,353
2023-01-17 11:00:00,weekday,Maxwell,412
2023-01-17 12:00:00,weekday,Maxwell,291
2023-01-17 13:00:00,weekday,Maxwell,342
2023-01-17 14:00:00,weekday,Maxwell,163
2023-01-18 10:00:00,weekday,Maxwell,452
2023-01-18 11:00:00,weekday,Maxwell,463
2023-01-18 12:00:00,weekday,Maxwell,293
2023-01-18 13:00:00,weekday,Maxwell,121
2023-01-18 14:00:00,weekday,Maxwell,152
2023-01-19 10:00:00,weekday,Maxwell,490
2023-01-19 11:00:00,weekday,Maxwell,387
2023-01-19 12:00:00,weekday,Maxwell,236
2023-01-19 13:00:00,weekday,Maxwell,307
2023-01-19 14:00:00,weekday,Maxwell,71
2023-01-20 10:00:00,weekday,Maxwell,393
2023-01-20 11:00:00,weekday,Maxwell,331
2023-01-20 12:00:00,weekday,Maxwell,190
2023-01-20 13:00:00,weekday,Maxwell,163
2023-01-20 14:00:00,weekday,Maxwell,147
2023-01-21 10:00:00,weekend,Maxwell,205
2023-01-21 11:00:00,weekend,Maxwell,155
2023-01-21 12:00:00,weekend,Maxwell,132
2023-01-21 13:00:00,weekend,Maxwell,110
2023-01-21 14:00:00,weekend,Maxwell,118
2023-01-22 10:00:00,holiday,Maxwell,85
2023-01-22 11:00:00,holiday,Maxwell,59
2023-01-22 12:00:00,holiday,Maxwell,72
2023-01-22 13:00:00,holiday,Maxwell,49
2023-01-22 14:00:00,holiday,Maxwell,63
2023-01-23 10:00:00,holiday,Maxwell,126
2023-01-23 11:00:00,holiday,Maxwell,127
2023-01-23 12:00:00,holiday,Maxwell,103
2023-01-23 13:00:00,holiday,Maxwell,77
2023-01-23 14:00:00,holiday,Maxwell,83
2023-01-24 10:00:00,holiday,Maxwell,154
2023-01-24 11:00:00,holiday,Maxwell,160
2023-01-24 12:00:00,holiday,Maxwell,153
2023-01-24 13:00:00,holiday,Maxwell,164
2023-01-24 14:00:00,holiday,Maxwell,156
2023-01-25 10:00:00,weekday,Maxwell,510
