id,time,taxi_count,queue_length,min_coordinate,max_coordinate,day_type
1,00.00.00,46,709.8059847856681,"1.35477, 103.98777","1.361116, 103.988730666667",weekend
2,00.01.00,19,68.580272506816,"1.36071, 103.98873","1.3613, 103.98892",weekend
3,00.02.00,12,59.07677759165965,"1.36052, 103.9885","1.36098, 103.98877",weekend
4,00.03.00,17,286.39115542977765,"1.3582, 103.98872","1.36079, 103.98871",weekend
5,00.04.00,16,490.75174009278396,"1.35661, 103.98789","1.36098, 103.98866",weekend
6,00.05.00,15,27.666117771814765,"1.36101, 103.98881","1.36126, 103.98882",weekend
7,00.06.00,15,28.77100620469443,"1.36096, 103.98883","1.36122, 103.98884",weekend
8,00.07.00,27,95.64478342615038,"1.36043, 103.98857","1.36122, 103.98892",weekend
9,00.08.00,24,95.64478342615038,"1.36043, 103.98857","1.36122, 103.98892",weekend
10,00.09.00,32,118.37071818913476,"1.36053566666667, 103.988591","1.36156, 103.9889",weekend
11,00.10.00,46,723.845144634763,"1.35475, 103.98774","1.3611965, 103.988870833333",weekend
12,00.11.00,52,732.3294407204036,"1.35476, 103.98774","1.36127, 103.98895",weekend
13,00.12.00,69,706.5964605802586,"1.35498, 103.98783","1.36127, 103.98895",weekend
14,00.13.00,50,750.8146125054005,"1.35465, 103.9877","1.36133, 103.98891",weekend
15,00.14.00,47,599.2580475974615,"1.35604, 103.98774","1.36133, 103.98891",weekend
16,00.15.00,45,563.9462614878379,"1.35613, 103.9883","1.3612, 103.98885",weekend
17,00.16.00,48,453.2834389313745,"1.35731, 103.98827","1.36136, 103.9889",weekend
18,00.17.00,42,544.3358741155687,"1.35646, 103.98843","1.36136, 103.9889",weekend
19,00.18.00,33,111.61735493546273,"1.36041, 103.98859","1.36137, 103.9889",weekend
20,00.19.00,47,643.1215470607217,"1.35562903333333, 103.988232683333","1.36142, 103.98877",weekend
21,00.20.00,43,634.9920093410979,"1.35557, 103.98809","1.36126383333333, 103.988832333333",weekend
22,00.21.00,32,98.68373432097766,"1.36046, 103.98855","1.36128, 103.9889",weekend
23,00.22.00,42,734.3494981489982,"1.35484, 103.98779","1.36139633333333, 103.9888415",weekend
24,00.23.00,29,103.235691746213,"1.36051, 103.98855","1.36139633333333, 103.9888415",weekend
25,00.24.00,21,255.01374301611597,"1.35912633333333, 103.9888415","1.36143, 103.98895",weekend
26,00.25.00,45,512.3388220831863,"1.35665, 103.98852","1.36127, 103.98887",weekend
27,00.26.00,44,636.1704102642511,"1.35568, 103.9882","1.36139, 103.9889",weekend
28,00.27.00,36,621.3836151702131,"1.35568, 103.9882","1.36125, 103.98894",weekend
29,00.28.00,39,298.9198403049772,"1.35855, 103.98886","1.3612515, 103.988761333333",weekend
30,00.29.00,43,436.8063008016485,"1.35721, 103.98895","1.36116, 103.9889",weekend
31,00.30.00,28,108.24595875116596,"1.360398, 103.988489833333","1.36130343333333, 103.988859616667",weekend
32,00.31.00,29,110.5761884860541,"1.360398, 103.988489833333","1.36133, 103.98885",weekend
33,00.32.00,28,109.62028725853196,"1.36033, 103.98841","1.36119, 103.9889",weekend
34,00.33.00,23,103.51873109425152,"1.36035, 103.98846","1.36117383333333, 103.988901833333",weekend
35,00.34.00,29,126.82294273866104,"1.36043, 103.98841","1.36144, 103.98895",weekend
36,00.35.00,33,109.94746200604932,"1.36047, 103.98849","1.36137, 103.98891",weekend
37,00.36.00,37,234.41879129132258,"1.35922, 103.98893","1.36134, 103.98893",weekend
38,00.37.00,27,100.1425964533255,"1.36039, 103.98859","1.36126, 103.98884",weekend
39,00.38.00,26,524.1554348398636,"1.35655, 103.98792","1.36118, 103.98893",weekend
40,00.39.00,32,574.4411262805586,"1.35601133333333, 103.9882905","1.36119, 103.9887",weekend
41,00.40.00,25,450.26739290457203,"1.35694, 103.9881","1.36097, 103.98868",weekend
42,00.41.00,28,161.97469475461588,"1.35954516666667, 103.988695166667","1.36101, 103.9887",weekend
43,00.42.00,14,46.44036337730396,"1.36081, 103.98892","1.36122766666667, 103.988876166667",weekend
44,00.43.00,48,519.7128672882849,"1.35674, 103.98804","1.36135, 103.98895",weekend
45,00.44.00,31,118.01375022473664,"1.36037116666667, 103.988527333333","1.36135, 103.98895",weekend
46,00.45.00,38,369.93255253051956,"1.35802, 103.98863","1.36135, 103.98895",weekend
47,00.46.00,47,550.4619508237636,"1.35653216666667, 103.987914333333","1.3614, 103.98895",weekend
48,00.47.00,28,114.49590250489987,"1.36043, 103.98859","1.3614, 103.98895",weekend
49,00.48.00,34,140.1746262417481,"1.3602, 103.98839","1.36135, 103.98892",weekend
50,00.49.00,28,109.79725961923086,"1.36038, 103.9884","1.36127683333333, 103.9888235",weekend
51,00.50.00,36,544.1981798752661,"1.3563, 103.98778","1.3611, 103.98886",weekend
52,00.51.00,36,460.9990908995343,"1.3572, 103.98823","1.36131333333333, 103.988905333333",weekend
53,00.52.00,22,87.6396458939077,"1.36046, 103.98855","1.36117, 103.9889",weekend
54,00.53.00,39,337.80587085019977,"1.35837, 103.98878","1.361424, 103.9888575",weekend
55,00.54.00,46,536.471070940873,"1.35647, 103.98787","1.36120016666667, 103.988942",weekend
56,00.55.00,41,461.2758901728193,"1.35685, 103.98803","1.36097, 103.98868",weekend
57,00.56.00,45,490.6486234742825,"1.35685, 103.98803","1.3612, 103.9889",weekend
58,00.57.00,33,471.63126601929997,"1.35671, 103.988","1.36092, 103.98868",weekend
59,00.58.00,28,91.27123173044374,"1.36044, 103.98853","1.3612, 103.98885",weekend
60,00.59.00,36,234.63266790829124,"1.35909, 103.98895","1.36121, 103.98886",weekend
61,01.00.00,33,459.5071567424058,"1.3573445, 103.988310666667","1.36145, 103.98895",weekend
62,01.01.00,30,264.23475116550736,"1.35906083333333, 103.9889025","1.36145, 103.98895",weekend
63,01.02.00,21,234.93598597199437,"1.3592, 103.98892","1.36132, 103.98878",weekend
64,01.03.00,31,192.02156352773665,"1.35959, 103.98872","1.36132, 103.98887",weekend
65,01.04.00,30,528.9542557657691,"1.35658, 103.98792","1.36125, 103.98895",weekend
66,01.05.00,26,103.39208197172705,"1.36040866666667, 103.988539666667","1.36129, 103.98885",weekend
67,01.06.00,22,99.06867174329196,"1.36042866666667, 103.9885485","1.36128466666667, 103.988811333333",weekend
68,01.07.00,31,120.7627915560509,"1.36034, 103.9883","1.36125, 103.9889",weekend
69,01.08.00,12,41.64777396313384,"1.36046, 103.9886","1.36083, 103.98853",weekend
70,01.09.00,24,111.40778845973566,"1.36037, 103.98837","1.36127, 103.98882",weekend
71,01.10.00,30,107.0198826670803,"1.36037271666667, 103.988483833333","1.36125, 103.98889",weekend
72,01.11.00,25,94.58909682092597,"1.36045833333333, 103.988541","1.361264, 103.988826666667",weekend
73,01.12.00,34,190.9601871695949,"1.35957, 103.98871","1.36128, 103.98895",weekend
74,01.13.00,26,94.22981252636248,"1.3603435, 103.988411166667","1.36112, 103.98876",weekend
75,01.14.00,32,133.2102175377146,"1.36038, 103.9884","1.36145, 103.98895",weekend
76,01.15.00,25,119.82374033748313,"1.36024, 103.9884","1.36121, 103.98888",weekend
77,01.16.00,26,155.617693989216,"1.35944366666667, 103.988773166667","1.36085, 103.98872",weekend
78,01.17.00,27,99.64845518956467,"1.36043, 103.98851","1.36126083333333, 103.988856833333",weekend
79,01.18.00,23,335.2655181599272,"1.35799, 103.98861","1.36102, 103.98872",weekend
80,01.19.00,25,114.02175537495732,"1.3603, 103.98837","1.36117, 103.98892",weekend
81,01.20.00,21,241.48704796502247,"1.35904, 103.98895","1.36122, 103.98882",weekend
82,01.21.00,29,216.8296455594251,"1.35926, 103.98889","1.36122, 103.98883",weekend
83,01.22.00,27,94.7601573825327,"1.36042, 103.98859","1.36121, 103.98892",weekend
84,01.23.00,19,166.18915217597902,"1.35974, 103.98857","1.36122, 103.98883",weekend
85,01.24.00,17,183.4791929790056,"1.35912333333333, 103.9888115","1.36076, 103.98854",weekend
86,01.25.00,39,312.93488565259446,"1.35837, 103.98879","1.3612, 103.98877",weekend
87,01.26.00,29,104.2835660884693,"1.36045, 103.98855","1.36134, 103.98886",weekend
88,01.27.00,30,107.06740343212128,"1.36041, 103.9886","1.36133, 103.9889",weekend
89,01.28.00,29,112.03512001295832,"1.36044, 103.98855","1.36139, 103.9889",weekend
90,01.29.00,33,110.37038230157195,"1.36045633333333, 103.988549316667","1.36139, 103.9889",weekend
91,01.30.00,23,100.10939711453511,"1.36040416666667, 103.988506","1.36124081666667, 103.988849733333",weekend
92,01.31.00,22,103.61792171814494,"1.36043, 103.9885","1.36131, 103.98882",weekend
93,01.32.00,31,105.7075457245261,"1.36041, 103.98837","1.36121, 103.98889",weekend
94,01.33.00,38,179.16696889494008,"1.35967, 103.98864","1.36126, 103.98895",weekend
95,01.34.00,34,174.38558827395605,"1.3597, 103.98863","1.36126, 103.98886",weekend
96,01.35.00,27,106.49811977886846,"1.36041, 103.98841","1.36126, 103.98886",weekend
97,01.36.00,33,219.34522294522222,"1.3594, 103.98882","1.36138, 103.98894",weekend
98,01.37.00,32,170.41621448593673,"1.3594, 103.98882","1.36094, 103.98876",weekend
99,01.38.00,24,79.02603518652022,"1.36033, 103.98839","1.36094, 103.98876",weekend
100,01.39.00,32,104.20930325239793,"1.36044, 103.98854","1.36131, 103.9889",weekend
101,01.40.00,32,120.04806695496248,"1.36025, 103.98837","1.36125, 103.98879",weekend
102,01.41.00,25,76.67599188610495,"1.3606, 103.98855","1.36125, 103.98879",weekend
103,01.42.00,23,69.05265776811298,"1.3607, 103.98867","1.36128, 103.9889",weekend
104,01.43.00,26,110.47310280362544,"1.36042, 103.98848","1.3613, 103.98895",weekend
105,01.44.00,26,98.24979538448576,"1.36049, 103.98859","1.36131, 103.98893",weekend
106,01.45.00,21,56.983193123803694,"1.3609, 103.98894","1.36137, 103.98873",weekend
107,01.46.00,18,102.52320714028221,"1.36047, 103.98855","1.36131, 103.98894",weekend
108,01.47.00,16,68.55257220715333,"1.3607, 103.98866","1.36131, 103.98877",weekend
109,01.48.00,15,62.981062634121855,"1.36075, 103.98867","1.36129, 103.98885",weekend
110,01.49.00,23,98.02008662168956,"1.36043, 103.98854","1.36128, 103.98879",weekend
111,01.50.00,14,50.423861856541855,"1.36049, 103.98848","1.36086416666667, 103.988739",weekend
112,01.51.00,18,68.84907807591587,"1.36049, 103.98848","1.36104, 103.98877",weekend
113,01.52.00,20,81.1291910127849,"1.36048, 103.98858","1.36116933333333, 103.988829666667",weekend
114,01.53.00,18,83.68041857903633,"1.36044, 103.9885","1.36112, 103.98883",weekend
115,01.54.00,24,80.25437366681322,"1.36046, 103.98857","1.36116966666667, 103.988721166667",weekend
116,01.55.00,25,91.67780205075704,"1.36044, 103.9885","1.36123, 103.98875",weekend
117,01.56.00,25,106.09829098526417,"1.36041, 103.98841","1.36129, 103.98879",weekend
118,01.57.00,21,92.16247005576989,"1.36044, 103.9885","1.3612, 103.98884",weekend
119,01.58.00,25,88.2077719010827,"1.36042, 103.98866","1.36121, 103.98877",weekend
120,01.59.00,21,88.2077719010827,"1.36042, 103.98866","1.36121, 103.98877",weekend
121,02.00.00,18,58.50590331663992,"1.36049, 103.98857","1.361, 103.98871",weekend
122,02.01.00,16,84.70072235927192,"1.36046, 103.9885","1.36112883333333, 103.988871",weekend
123,02.02.00,20,82.57545323606455,"1.36049, 103.98859","1.3612, 103.98882",weekend
124,02.03.00,20,83.97475069567908,"1.36048, 103.98858","1.3612, 103.98882",weekend
125,02.04.00,23,84.33531691145993,"1.36048, 103.98857","1.3612, 103.98882",weekend
126,02.05.00,23,85.49484519434614,"1.36048, 103.98854","1.3612, 103.98882",weekend
127,02.06.00,24,85.90671422075785,"1.36048, 103.98853","1.3612, 103.98882",weekend
128,02.07.00,19,89.75130913172703,"1.36046, 103.98855","1.36122266666667, 103.988826",weekend
129,02.08.00,19,77.77973244327937,"1.36046, 103.98855","1.3611, 103.98884",weekend
130,02.09.00,21,82.68827315514552,"1.36046, 103.9885","1.36113, 103.98883",weekend
131,02.10.00,21,81.39205912018187,"1.36045, 103.98855","1.36113, 103.98883",weekend
132,02.11.00,20,74.88350399870438,"1.36045, 103.98857","1.36109, 103.98879",weekend
