minutes,taxi_count,sum
"['00.42.00', '00.43.00']","[21, 19]",2
"['00.45.00', '00.46.00']","[22, 20]",2
"['00.50.00', '00.51.00']","[17, 17]",2
"['01.17.00', '01.18.00']","[25, 27]",2
"['01.25.00', '01.26.00']","[25, 19]",2
"['01.45.00', '01.46.00']","[20, 21]",2
"['01.54.00', '01.55.00', '01.56.00', '01.57.00']","[24, 24, 27, 27]",4
"['02.01.00', '02.02.00']","[22, 24]",2
"['03.47.00', '03.48.00', '03.49.00', '03.50.00', '03.51.00', '03.52.00', '03.53.00']","[28, 29, 24, 21, 30, 26, 26]",7
"['04.21.00', '04.22.00']","[35, 30]",2
"['04.29.00', '04.30.00', '04.31.00', '04.32.00', '04.33.00']","[18, 22, 21, 19, 16]",5
"['04.40.00', '04.41.00', '04.42.00']","[24, 25, 26]",3
"['04.46.00', '04.47.00', '04.48.00', '04.49.00', '04.50.00', '04.51.00']","[17, 14, 17, 24, 30, 18]",6
"['05.54.00', '05.55.00']","[22, 21]",2
"['07.42.00', '07.43.00', '07.44.00']","[27, 23, 26]",3
"['07.48.00', '07.49.00']","[23, 17]",2
"['08.06.00', '08.07.00']","[17, 16]",2
"['08.24.00', '08.25.00']","[19, 17]",2
"['08.35.00', '08.36.00']","[25, 18]",2
"['09.11.00', '09.12.00', '09.13.00', '09.14.00']","[21, 18, 22, 19]",4
"['09.22.00', '09.23.00']","[28, 36]",2
"['09.26.00', '09.27.00', '09.28.00']","[32, 31, 22]",3
"['09.30.00', '09.31.00']","[18, 23]",2
"['09.49.00', '09.50.00']","[19, 17]",2
"['10.20.00', '10.21.00', '10.22.00']","[20, 17, 16]",3
"['10.51.00', '10.52.00']","[31, 22]",2
"['10.54.00', '10.55.00']","[29, 28]",2
"['11.14.00', '11.15.00', '11.16.00']","[21, 28, 22]",3
"['11.18.00', '11.19.00', '11.20.00']","[28, 36, 31]",3
"['12.16.00', '12.17.00']","[22, 28]",2
"['12.20.00', '12.21.00', '12.22.00']","[31, 30, 16]",3
"['12.24.00', '12.25.00']","[21, 28]",2
"['12.30.00', '12.31.00']","[23, 25]",2
"['14.15.00', '14.16.00', '14.17.00']","[30, 31, 38]",3
"['20.39.00', '20.40.00']","[23, 20]",2
"['20.45.00', '20.46.00', '20.47.00']","[16, 19, 28]",3
"['22.04.00', '22.05.00']","[20, 14]",2
