date,day_of_week,day_type,hour,minutes,taxi_count,sum
2024-01-02,Tuesday,weekday,00,"['00.04.00', '00.05.00']","[23, 19]",2
2024-01-02,Tuesday,weekday,00,"['00.12.00', '00.13.00', '00.14.00']","[34, 14, 24]",3
2024-01-02,Tuesday,weekday,00,"['00.58.00', '00.59.00']","[25, 28]",2
2024-01-02,Tuesday,weekday,01,"['01.01.00', '01.02.00']","[35, 32]",2
2024-01-02,Tuesday,weekday,02,"['02.41.00', '02.42.00', '02.43.00']","[19, 21, 17]",3
2024-01-02,Tuesday,weekday,03,"['03.07.00', '03.08.00']","[23, 29]",2
2024-01-02,Tuesday,weekday,03,"['03.10.00', '03.11.00', '03.12.00', '03.13.00', '03.14.00', '03.15.00', '03.16.00', '03.17.00', '03.18.00', '03.19.00', '03.20.00', '03.21.00']","[25, 33, 32, 37, 35, 26, 23, 26, 29, 24, 27, 34]",12
2024-01-02,Tuesday,weekday,03,"['03.24.00', '03.25.00', '03.26.00', '03.27.00', '03.28.00', '03.29.00', '03.30.00', '03.31.00', '03.32.00', '03.33.00']","[39, 40, 35, 35, 40, 27, 34, 26, 24, 24]",10
2024-01-02,Tuesday,weekday,06,"['06.27.00', '06.28.00', '06.29.00']","[23, 29, 35]",3
2024-01-02,Tuesday,weekday,06,"['06.31.00', '06.32.00']","[24, 23]",2
2024-01-02,Tuesday,weekday,06,"['06.39.00', '06.40.00', '06.41.00', '06.42.00', '06.43.00']","[29, 24, 27, 39, 31]",5
2024-01-02,Tuesday,weekday,06,"['06.51.00', '06.52.00', '06.53.00']","[25, 27, 27]",3
2024-01-02,Tuesday,weekday,08,"['08.46.00', '08.47.00']","[22, 17]",2
2024-01-02,Tuesday,weekday,09,"['09.10.00', '09.11.00']","[23, 21]",2
2024-01-02,Tuesday,weekday,12,"['12.42.00', '12.43.00', '12.44.00']","[19, 22, 28]",3
2024-01-02,Tuesday,weekday,12,"['12.47.00', '12.48.00', '12.49.00']","[15, 23, 25]",3
2024-01-02,Tuesday,weekday,12,"['12.51.00', '12.52.00', '12.53.00', '12.54.00', '12.55.00']","[24, 26, 32, 34, 25]",5
2024-01-02,Tuesday,weekday,12,"['12.58.00', '12.59.00']","[27, 25]",2
2024-01-02,Tuesday,weekday,13,"['13.02.00', '13.03.00']","[36, 36]",2
2024-01-02,Tuesday,weekday,13,"['13.16.00', '13.17.00', '13.18.00', '13.19.00', '13.20.00']","[30, 19, 36, 38, 33]",5
2024-01-02,Tuesday,weekday,13,"['13.25.00', '13.26.00']","[25, 25]",2
2024-01-02,Tuesday,weekday,14,"['14.48.00', '14.49.00']","[28, 19]",2
2024-01-02,Tuesday,weekday,15,"['15.20.00', '15.21.00', '15.22.00']","[25, 23, 23]",3
2024-01-02,Tuesday,weekday,17,"['17.08.00', '17.09.00', '17.10.00']","[18, 15, 22]",3
2024-01-02,Tuesday,weekday,17,"['17.35.00', '17.36.00']","[15, 19]",2
2024-01-02,Tuesday,weekday,17,"['17.40.00', '17.41.00', '17.42.00']","[21, 16, 19]",3
2024-01-02,Tuesday,weekday,18,"['18.41.00', '18.42.00']","[21, 16]",2
2024-01-02,Tuesday,weekday,18,"['18.44.00', '18.45.00', '18.46.00', '18.47.00', '18.48.00']","[16, 16, 18, 28, 31]",5
2024-01-02,Tuesday,weekday,18,"['18.50.00', '18.51.00']","[28, 24]",2
2024-01-02,Tuesday,weekday,19,"['19.43.00', '19.44.00']","[16, 19]",2
2024-01-02,Tuesday,weekday,19,"['19.57.00', '19.58.00']","[19, 20]",2
2024-01-02,Tuesday,weekday,20,"['20.25.00', '20.26.00', '20.27.00', '20.28.00', '20.29.00']","[25, 31, 37, 39, 34]",5
2024-01-02,Tuesday,weekday,20,"['20.31.00', '20.32.00', '20.33.00', '20.34.00', '20.35.00', '20.36.00', '20.37.00']","[23, 22, 37, 29, 34, 33, 17]",7
2024-01-02,Tuesday,weekday,20,"['20.41.00', '20.42.00']","[20, 21]",2
2024-01-02,Tuesday,weekday,20,"['20.49.00', '20.50.00', '20.51.00', '20.52.00']","[29, 28, 26, 30]",4
2024-01-02,Tuesday,weekday,21,"['21.13.00', '21.14.00', '21.15.00', '21.16.00', '21.17.00']","[32, 32, 27, 29, 27]",5
2024-01-02,Tuesday,weekday,21,"['21.25.00', '21.26.00', '21.27.00']","[37, 20, 27]",3
2024-01-02,Tuesday,weekday,21,"['21.30.00', '21.31.00']","[21, 20]",2
2024-01-02,Tuesday,weekday,21,"['21.37.00', '21.38.00']","[24, 33]",2
2024-01-02,Tuesday,weekday,21,"['21.43.00', '21.44.00']","[23, 34]",2
2024-01-02,Tuesday,weekday,21,"['21.50.00', '21.51.00']","[27, 32]",2
2024-01-02,Tuesday,weekday,22,"['22.15.00', '22.16.00']","[22, 23]",2
2024-01-02,Tuesday,weekday,23,"['23.29.00', '23.30.00', '23.31.00', '23.32.00', '23.33.00', '23.34.00', '23.35.00', '23.36.00']","[22, 45, 46, 35, 50, 47, 34, 28]",8
2024-01-02,Tuesday,weekday,23,"['23.44.00', '23.45.00']","[26, 16]",2
2024-01-02,Tuesday,weekday,23,"['23.47.00', '23.48.00', '23.49.00']","[27, 22, 34]",3
2024-01-02,Tuesday,weekday,23,"['23.52.00', '23.53.00']","[33, 29]",2
2024-01-02,Tuesday,weekday,23,"['23.55.00', '23.56.00']","[18, 15]",2
