date,day_of_week,day_type,hour,queue_start,minutes,taxi_count,taxi_count_start,taxi_count_avg,sum
2024-01-01,Monday,holiday,07,125.80002532419093,"['07.43.00', '07.44.00']","[20, 14]",20,17.0,2
2024-01-01,Monday,holiday,07,124.6051715654201,"['07.48.00', '07.49.00']","[30, 29]",30,29.5,2
2024-01-01,Monday,holiday,07,101.00950511749052,"['07.54.00', '07.55.00']","[18, 32]",18,25.0,2
2024-01-01,Monday,holiday,07,128.37186171067873,"['07.57.00', '07.58.00']","[25, 25]",25,25.0,2
2024-01-01,Monday,holiday,08,113.37080911435646,"['08.00.00', '08.01.00']","[19, 19]",19,19.0,2
2024-01-01,Monday,holiday,09,100.29432907469644,"['09.18.00', '09.19.00', '09.20.00']","[18, 18, 25]",18,20.33,3
2024-01-01,Monday,holiday,09,107.4289861917106,"['09.25.00', '09.26.00']","[22, 23]",22,22.5,2
2024-01-01,Monday,holiday,10,113.9658323431535,"['10.32.00', '10.33.00']","[20, 19]",20,19.5,2
2024-01-01,Monday,holiday,10,104.89967662372304,"['10.55.00', '10.56.00']","[18, 26]",18,22.0,2
2024-01-01,Monday,holiday,10,103.18941310903976,"['10.58.00', '10.59.00', '11.00.00', '11.01.00']","[31, 29, 27, 30]",31,29.25,4
2024-01-01,Monday,holiday,11,145.20873060499804,"['11.10.00', '11.11.00', '11.12.00']","[26, 23, 21]",26,23.33,3
2024-01-01,Monday,holiday,11,105.21582816980748,"['11.14.00', '11.15.00', '11.16.00', '11.17.00', '11.18.00', '11.19.00']","[24, 32, 29, 30, 27, 24]",24,27.67,6
2024-01-01,Monday,holiday,11,105.23092856514155,"['11.35.00', '11.36.00', '11.37.00', '11.38.00']","[25, 28, 23, 25]",25,25.25,4
2024-01-01,Monday,holiday,11,106.3730572646376,"['11.43.00', '11.44.00']","[28, 27]",28,27.5,2
2024-01-01,Monday,holiday,11,105.78168846323088,"['11.55.00', '11.56.00', '11.57.00', '11.58.00']","[24, 18, 33, 29]",24,26.0,4
2024-01-01,Monday,holiday,12,304.24588818992873,"['12.05.00', '12.06.00', '12.07.00']","[24, 38, 26]",24,29.33,3
2024-01-01,Monday,holiday,12,101.11466159329436,"['12.22.00', '12.23.00', '12.24.00', '12.25.00']","[25, 20, 21, 22]",25,22.0,4
2024-01-01,Monday,holiday,12,104.99046709063502,"['12.32.00', '12.33.00']","[24, 26]",24,25.0,2
2024-01-01,Monday,holiday,12,100.29700343141327,"['12.35.00', '12.36.00']","[26, 23]",26,24.5,2
2024-01-01,Monday,holiday,12,245.37805076328257,"['12.51.00', '12.52.00']","[16, 26]",16,21.0,2
2024-01-01,Monday,holiday,12,154.54342049962298,"['12.58.00', '12.59.00', '13.00.00', '13.01.00']","[29, 28, 26, 25]",29,27.0,4
2024-01-01,Monday,holiday,13,120.5430392946798,"['13.07.00', '13.08.00']","[26, 31]",26,28.5,2
