date,day_of_week,day_type,hour,minutes,taxi_count,sum
2023-08-14,Monday,weekday,00,"['00.30.00', '00.31.00', '00.32.00', '00.33.00']","[21, 25, 20, 25]",4
2023-08-14,Monday,weekday,01,"['01.55.00', '01.56.00']","[24, 28]",2
2023-08-14,Monday,weekday,02,"['02.03.00', '02.04.00', '02.05.00']","[24, 26, 28]",3
2023-08-14,Monday,weekday,02,"['02.07.00', '02.08.00', '02.09.00', '02.10.00']","[27, 40, 35, 32]",4
2023-08-14,Monday,weekday,02,"['02.12.00', '02.13.00', '02.14.00']","[31, 21, 27]",3
2023-08-14,Monday,weekday,02,"['02.17.00', '02.18.00', '02.19.00', '02.20.00', '02.21.00', '02.22.00', '02.23.00', '02.24.00', '02.25.00', '02.26.00', '02.27.00', '02.28.00', '02.29.00']","[25, 33, 34, 37, 28, 29, 32, 42, 26, 32, 29, 26, 31]",13
2023-08-14,Monday,weekday,02,"['02.31.00', '02.32.00', '02.33.00', '02.34.00', '02.35.00', '02.36.00', '02.37.00', '02.38.00']","[32, 23, 33, 34, 35, 26, 31, 28]",8
2023-08-14,Monday,weekday,02,"['02.59.00', '03.00.00', '03.01.00', '03.02.00', '03.03.00', '03.04.00', '03.05.00', '03.06.00']","[28, 29, 24, 30, 30, 30, 32, 24]",8
2023-08-14,Monday,weekday,03,"['03.08.00', '03.09.00', '03.10.00', '03.11.00']","[29, 32, 30, 24]",4
2023-08-14,Monday,weekday,03,"['03.17.00', '03.18.00']","[33, 31]",2
2023-08-14,Monday,weekday,03,"['03.41.00', '03.42.00', '03.43.00', '03.44.00', '03.45.00', '03.46.00', '03.47.00', '03.48.00', '03.49.00', '03.50.00']","[32, 34, 22, 20, 24, 39, 26, 30, 24, 32]",10
2023-08-14,Monday,weekday,04,"['04.06.00', '04.07.00', '04.08.00']","[24, 19, 23]",3
2023-08-14,Monday,weekday,04,"['04.18.00', '04.19.00']","[28, 24]",2
2023-08-14,Monday,weekday,04,"['04.22.00', '04.23.00', '04.24.00']","[28, 28, 26]",3
2023-08-14,Monday,weekday,04,"['04.27.00', '04.28.00']","[28, 29]",2
2023-08-14,Monday,weekday,04,"['04.47.00', '04.48.00', '04.49.00']","[23, 24, 22]",3
2023-08-14,Monday,weekday,05,"['05.27.00', '05.28.00', '05.29.00', '05.30.00']","[20, 22, 22, 24]",4
2023-08-14,Monday,weekday,06,"['06.40.00', '06.41.00']","[23, 20]",2
2023-08-14,Monday,weekday,07,"['07.37.00', '07.38.00']","[16, 21]",2
2023-08-14,Monday,weekday,07,"['07.44.00', '07.45.00']","[23, 25]",2
2023-08-14,Monday,weekday,07,"['07.51.00', '07.52.00']","[31, 29]",2
2023-08-14,Monday,weekday,07,"['07.56.00', '07.57.00', '07.58.00']","[33, 32, 33]",3
2023-08-14,Monday,weekday,08,"['08.00.00', '08.01.00', '08.02.00', '08.03.00', '08.04.00', '08.05.00', '08.06.00']","[43, 33, 38, 49, 44, 46, 29]",7
2023-08-14,Monday,weekday,08,"['08.11.00', '08.12.00']","[25, 35]",2
2023-08-14,Monday,weekday,08,"['08.14.00', '08.15.00', '08.16.00', '08.17.00', '08.18.00', '08.19.00']","[28, 39, 40, 38, 15, 31]",6
2023-08-14,Monday,weekday,08,"['08.25.00', '08.26.00']","[28, 28]",2
2023-08-14,Monday,weekday,08,"['08.40.00', '08.41.00']","[22, 18]",2
2023-08-14,Monday,weekday,10,"['10.27.00', '10.28.00', '10.29.00']","[18, 20, 19]",3
2023-08-14,Monday,weekday,10,"['10.33.00', '10.34.00']","[20, 18]",2
2023-08-14,Monday,weekday,10,"['10.36.00', '10.37.00', '10.38.00']","[23, 27, 26]",3
2023-08-14,Monday,weekday,10,"['10.42.00', '10.43.00']","[17, 22]",2
2023-08-14,Monday,weekday,11,"['11.49.00', '11.50.00']","[26, 26]",2
2023-08-14,Monday,weekday,12,"['12.21.00', '12.22.00', '12.23.00', '12.24.00']","[28, 26, 20, 23]",4
2023-08-14,Monday,weekday,12,"['12.26.00', '12.27.00']","[22, 20]",2
2023-08-14,Monday,weekday,13,"['13.27.00', '13.28.00', '13.29.00']","[22, 19, 25]",3
2023-08-14,Monday,weekday,13,"['13.49.00', '13.50.00']","[19, 19]",2
2023-08-14,Monday,weekday,13,"['13.53.00', '13.54.00']","[27, 21]",2
2023-08-14,Monday,weekday,14,"['14.36.00', '14.37.00']","[21, 21]",2
2023-08-14,Monday,weekday,15,"['15.06.00', '15.07.00', '15.08.00', '15.09.00']","[20, 22, 23, 22]",4
2023-08-14,Monday,weekday,18,"['18.35.00', '18.36.00']","[23, 21]",2
2023-08-14,Monday,weekday,19,"['19.33.00', '19.34.00']","[24, 29]",2
2023-08-14,Monday,weekday,19,"['19.44.00', '19.45.00']","[25, 25]",2
2023-08-14,Monday,weekday,19,"['19.50.00', '19.51.00', '19.52.00']","[30, 33, 29]",3
2023-08-14,Monday,weekday,19,"['19.54.00', '19.55.00', '19.56.00', '19.57.00', '19.58.00', '19.59.00', '20.00.00']","[33, 32, 24, 43, 33, 42, 31]",7
2023-08-14,Monday,weekday,20,"['20.05.00', '20.06.00']","[39, 38]",2
2023-08-14,Monday,weekday,20,"['20.15.00', '20.16.00', '20.17.00']","[35, 27, 22]",3
2023-08-14,Monday,weekday,22,"['22.20.00', '22.21.00']","[22, 18]",2
2023-08-14,Monday,weekday,22,"['22.33.00', '22.34.00']","[23, 37]",2
2023-08-14,Monday,weekday,22,"['22.37.00', '22.38.00', '22.39.00', '22.40.00', '22.41.00', '22.42.00', '22.43.00', '22.44.00']","[31, 35, 18, 37, 24, 26, 18, 28]",8
2023-08-14,Monday,weekday,22,"['22.46.00', '22.47.00']","[30, 23]",2
2023-08-14,Monday,weekday,22,"['22.49.00', '22.50.00', '22.51.00', '22.52.00']","[23, 21, 20, 23]",4
2023-08-14,Monday,weekday,22,"['22.54.00', '22.55.00', '22.56.00']","[34, 37, 41]",3
2023-08-14,Monday,weekday,22,"['22.58.00', '22.59.00']","[42, 42]",2
2023-08-14,Monday,weekday,23,"['23.48.00', '23.49.00']","[29, 20]",2
