date,day_of_week,day_type,hour,queue_start,minutes,taxi_count,taxi_count_start,taxi_count_avg,sum
2024-01-10,Wednesday,weekday,00,488.99630370779,"['00.15.00', '00.16.00']","[15, 23]",15,19.0,2
2024-01-10,Wednesday,weekday,00,164.85546444575456,"['00.22.00', '00.23.00']","[20, 17]",20,18.5,2
2024-01-10,Wednesday,weekday,02,117.84828716049348,"['02.09.00', '02.10.00']","[20, 25]",20,22.5,2
2024-01-10,Wednesday,weekday,02,117.57788992935224,"['02.15.00', '02.16.00']","[25, 25]",25,25.0,2
2024-01-10,Wednesday,weekday,02,113.4535836121155,"['02.34.00', '02.35.00']","[18, 22]",18,20.0,2
2024-01-10,Wednesday,weekday,02,120.86439692989796,"['02.40.00', '02.41.00', '02.42.00', '02.43.00', '02.44.00']","[25, 23, 21, 22, 21]",25,22.4,5
2024-01-10,Wednesday,weekday,02,117.73694682543548,"['02.49.00', '02.50.00', '02.51.00', '02.52.00']","[23, 22, 24, 23]",23,23.0,4
2024-01-10,Wednesday,weekday,02,179.1669690508998,"['02.54.00', '02.55.00', '02.56.00']","[33, 40, 29]",33,34.0,3
2024-01-10,Wednesday,weekday,03,124.3042905494809,"['03.00.00', '03.01.00', '03.02.00', '03.03.00', '03.04.00', '03.05.00', '03.06.00', '03.07.00']","[31, 31, 29, 39, 24, 39, 39, 35]",31,33.38,8
2024-01-10,Wednesday,weekday,03,155.10099526623475,"['03.09.00', '03.10.00', '03.11.00', '03.12.00', '03.13.00']","[29, 31, 35, 38, 34]",29,33.4,5
2024-01-10,Wednesday,weekday,03,138.32990712844995,"['03.15.00', '03.16.00']","[33, 41]",33,37.0,2
2024-01-10,Wednesday,weekday,03,120.04806542663287,"['03.18.00', '03.19.00']","[28, 20]",28,24.0,2
2024-01-10,Wednesday,weekday,03,325.10735254487986,"['03.30.00', '03.31.00', '03.32.00', '03.33.00', '03.34.00', '03.35.00', '03.36.00']","[31, 37, 37, 37, 22, 32, 33]",31,32.71,7
2024-01-10,Wednesday,weekday,03,316.46848405393126,"['03.40.00', '03.41.00', '03.42.00', '03.43.00', '03.44.00', '03.45.00']","[34, 34, 43, 33, 37, 29]",34,35.0,6
2024-01-10,Wednesday,weekday,03,263.1894425379537,"['03.47.00', '03.48.00', '03.49.00', '03.50.00', '03.51.00', '03.52.00', '03.53.00', '03.54.00']","[32, 26, 27, 23, 30, 24, 45, 34]",32,30.12,8
2024-01-10,Wednesday,weekday,03,307.4163550876308,"['03.56.00', '03.57.00', '03.58.00', '03.59.00', '04.00.00', '04.01.00', '04.02.00', '04.03.00', '04.04.00', '04.05.00', '04.06.00', '04.07.00']","[40, 26, 27, 21, 29, 34, 29, 41, 25, 33, 37, 29]",40,30.92,12
2024-01-10,Wednesday,weekday,04,136.4980633325148,"['04.14.00', '04.15.00', '04.16.00', '04.17.00']","[37, 41, 27, 32]",37,34.25,4
2024-01-10,Wednesday,weekday,04,202.69867262260652,"['04.27.00', '04.28.00', '04.29.00', '04.30.00', '04.31.00', '04.32.00', '04.33.00', '04.34.00', '04.35.00', '04.36.00', '04.37.00']","[27, 39, 22, 30, 25, 24, 36, 21, 27, 28, 22]",27,27.36,11
2024-01-10,Wednesday,weekday,04,130.3286773539213,"['04.43.00', '04.44.00', '04.45.00', '04.46.00', '04.47.00', '04.48.00', '04.49.00']","[31, 24, 24, 26, 22, 27, 16]",31,24.29,7
2024-01-10,Wednesday,weekday,04,109.24880720191932,"['04.55.00', '04.56.00', '04.57.00', '04.58.00', '04.59.00', '05.00.00', '05.01.00', '05.02.00', '05.03.00', '05.04.00', '05.05.00']","[22, 25, 42, 43, 32, 42, 33, 50, 33, 27, 35]",22,34.91,11
2024-01-10,Wednesday,weekday,05,130.28481424702855,"['05.16.00', '05.17.00']","[25, 23]",25,24.0,2
2024-01-10,Wednesday,weekday,06,120.96603197239192,"['06.20.00', '06.21.00']","[26, 19]",26,22.5,2
2024-01-10,Wednesday,weekday,06,113.5121025532954,"['06.34.00', '06.35.00']","[27, 29]",27,28.0,2
2024-01-10,Wednesday,weekday,06,125.7658272005937,"['06.39.00', '06.40.00', '06.41.00']","[26, 19, 25]",26,23.33,3
2024-01-10,Wednesday,weekday,06,156.42278936612607,"['06.44.00', '06.45.00', '06.46.00', '06.47.00']","[28, 28, 25, 24]",28,26.25,4
2024-01-10,Wednesday,weekday,06,158.68253301831277,"['06.55.00', '06.56.00']","[28, 28]",28,28.0,2
2024-01-10,Wednesday,weekday,07,125.64585349656382,"['07.33.00', '07.34.00']","[18, 16]",18,17.0,2
2024-01-10,Wednesday,weekday,07,137.16054477611638,"['07.45.00', '07.46.00', '07.47.00']","[23, 25, 25]",23,24.33,3
2024-01-10,Wednesday,weekday,08,132.09707257198593,"['08.41.00', '08.42.00', '08.43.00', '08.44.00']","[30, 28, 28, 22]",30,27.0,4
2024-01-10,Wednesday,weekday,08,135.09954785296833,"['08.53.00', '08.54.00', '08.55.00']","[16, 19, 22]",16,19.0,3
