date,day_of_week,day_type,hour,minutes,taxi_count,sum
2023-12-05,Tuesday,weekday,00,"['00.44.00', '00.45.00', '00.46.00']","[24, 24, 24]",3
2023-12-05,Tuesday,weekday,00,"['00.51.00', '00.52.00', '00.53.00', '00.54.00']","[37, 23, 27, 33]",4
2023-12-05,Tuesday,weekday,00,"['00.58.00', '00.59.00', '01.00.00', '01.01.00', '01.02.00', '01.03.00', '01.04.00']","[25, 35, 41, 39, 33, 62, 24]",7
2023-12-05,Tuesday,weekday,02,"['02.43.00', '02.44.00', '02.45.00', '02.46.00']","[25, 28, 27, 20]",4
2023-12-05,Tuesday,weekday,02,"['02.48.00', '02.49.00', '02.50.00', '02.51.00', '02.52.00', '02.53.00', '02.54.00']","[24, 22, 23, 24, 27, 25, 25]",7
2023-12-05,Tuesday,weekday,02,"['02.56.00', '02.57.00', '02.58.00', '02.59.00', '03.00.00']","[24, 28, 30, 29, 24]",5
2023-12-05,Tuesday,weekday,03,"['03.04.00', '03.05.00', '03.06.00', '03.07.00', '03.08.00', '03.09.00', '03.10.00', '03.11.00', '03.12.00', '03.13.00', '03.14.00', '03.15.00', '03.16.00']","[32, 34, 32, 33, 32, 29, 29, 34, 35, 29, 31, 30, 34]",13
2023-12-05,Tuesday,weekday,03,"['03.20.00', '03.21.00', '03.22.00', '03.23.00']","[30, 28, 33, 35]",4
2023-12-05,Tuesday,weekday,03,"['03.28.00', '03.29.00', '03.30.00']","[21, 20, 28]",3
2023-12-05,Tuesday,weekday,03,"['03.36.00', '03.37.00', '03.38.00', '03.39.00']","[30, 42, 32, 33]",4
2023-12-05,Tuesday,weekday,03,"['03.41.00', '03.42.00', '03.43.00']","[35, 28, 28]",3
2023-12-05,Tuesday,weekday,03,"['03.49.00', '03.50.00', '03.51.00', '03.52.00']","[29, 28, 27, 21]",4
2023-12-05,Tuesday,weekday,03,"['03.56.00', '03.57.00', '03.58.00']","[21, 27, 27]",3
2023-12-05,Tuesday,weekday,04,"['04.32.00', '04.33.00']","[22, 22]",2
2023-12-05,Tuesday,weekday,05,"['05.31.00', '05.32.00', '05.33.00']","[16, 19, 20]",3
2023-12-05,Tuesday,weekday,05,"['05.45.00', '05.46.00']","[21, 21]",2
2023-12-05,Tuesday,weekday,06,"['06.43.00', '06.44.00', '06.45.00']","[38, 48, 31]",3
2023-12-05,Tuesday,weekday,06,"['06.59.00', '07.00.00']","[31, 26]",2
2023-12-05,Tuesday,weekday,07,"['07.02.00', '07.03.00']","[31, 35]",2
2023-12-05,Tuesday,weekday,07,"['07.05.00', '07.06.00', '07.07.00', '07.08.00', '07.09.00', '07.10.00', '07.11.00', '07.12.00', '07.13.00', '07.14.00']","[50, 19, 44, 46, 32, 50, 57, 32, 31, 29]",10
2023-12-05,Tuesday,weekday,07,"['07.16.00', '07.17.00', '07.18.00', '07.19.00', '07.20.00']","[29, 25, 44, 15, 17]",5
2023-12-05,Tuesday,weekday,07,"['07.22.00', '07.23.00']","[26, 19]",2
