date,day_of_week,day_type,hour,queue_start,minutes,taxi_count,taxi_count_start,taxi_count_avg,sum
2023-03-25,Saturday,weekend,07,133.31949452287793,"['07.28.00', '07.29.00', '07.30.00', '07.31.00', '07.32.00', '07.33.00', '07.34.00', '07.35.00', '07.36.00', '07.37.00', '07.38.00', '07.39.00', '07.40.00', '07.41.00', '07.42.00', '07.43.00', '07.44.00']","[26, 29, 39, 36, 38, 39, 42, 43, 32, 20, 29, 26, 33, 33, 35, 36, 22]",26,32.82,17
2023-04-01,Saturday,weekend,19,103.6222105770988,"['19.12.00', '19.13.00', '19.14.00', '19.15.00', '19.16.00', '19.17.00', '19.18.00', '19.19.00', '19.20.00', '19.21.00']","[34, 35, 26, 31, 31, 27, 35, 36, 30, 29]",34,31.4,10
2023-04-01,Saturday,weekend,22,134.10009800880584,"['22.16.00', '22.17.00', '22.18.00', '22.19.00', '22.20.00', '22.21.00', '22.22.00', '22.23.00']","[27, 22, 29, 26, 29, 30, 30, 24]",27,27.12,8
2023-05-20,Saturday,weekend,20,125.90431505511869,"['20.14.00', '20.15.00']","[16, 16]",16,16.0,2
2023-06-24,Saturday,weekend,22,133.40236257317594,"['22.49.00', '22.50.00']","[23, 22]",23,22.5,2
2023-09-16,Saturday,weekend,07,147.29497109715462,"['07.57.00', '07.58.00']","[14, 16]",14,15.0,2
2023-09-16,Saturday,weekend,08,129.5448356038002,"['08.54.00', '08.55.00']","[15, 17]",15,16.0,2
2023-09-16,Saturday,weekend,09,141.77060808024163,"['09.16.00', '09.17.00']","[17, 20]",17,18.5,2
2023-09-16,Saturday,weekend,09,146.24711965019998,"['09.24.00', '09.25.00']","[17, 14]",17,15.5,2
2023-09-16,Saturday,weekend,10,150.5613568487416,"['10.27.00', '10.28.00']","[16, 17]",16,16.5,2
2023-09-16,Saturday,weekend,10,138.20729534965855,"['10.30.00', '10.31.00']","[14, 18]",14,16.0,2
2023-09-16,Saturday,weekend,10,125.06530856302244,"['10.34.00', '10.35.00', '10.36.00', '10.37.00', '10.38.00']","[15, 17, 16, 15, 18]",15,16.2,5
2023-09-16,Saturday,weekend,10,129.29090329110213,"['10.40.00', '10.41.00', '10.42.00']","[15, 15, 16]",15,15.33,3
2023-09-16,Saturday,weekend,18,167.47421365532347,"['18.42.00', '18.43.00']","[14, 17]",14,15.5,2
2023-09-16,Saturday,weekend,18,155.34439619504346,"['18.46.00', '18.47.00']","[16, 15]",16,15.5,2
2023-09-16,Saturday,weekend,20,114.18331931433237,"['20.20.00', '20.21.00']","[19, 17]",19,18.0,2
2023-09-16,Saturday,weekend,21,106.36427817983125,"['21.18.00', '21.19.00', '21.20.00']","[28, 28, 21]",28,25.67,3
