date,day_of_week,day_type,hour,queue_start,minutes,taxi_count,taxi_count_start,taxi_count_avg,sum
2024-01-30,Tuesday,weekday,00,112.2141934790557,"['00.22.00', '00.23.00']","[14, 15]",14,14.5,2
2024-01-30,Tuesday,weekday,00,109.58468492058044,"['00.25.00', '00.26.00']","[16, 20]",16,18.0,2
2024-01-30,Tuesday,weekday,00,151.81321476036194,"['00.29.00', '00.30.00', '00.31.00', '00.32.00', '00.33.00', '00.34.00', '00.35.00', '00.36.00', '00.37.00', '00.38.00', '00.39.00', '00.40.00', '00.41.00']","[21, 21, 20, 16, 24, 24, 19, 18, 21, 21, 20, 21, 22]",21,20.62,13
2024-01-30,Tuesday,weekday,01,157.42611350834267,"['01.29.00', '01.30.00']","[14, 15]",14,14.5,2
2024-01-30,Tuesday,weekday,02,122.08813550388184,"['02.10.00', '02.11.00']","[16, 15]",16,15.5,2
2024-01-30,Tuesday,weekday,02,104.209344501842,"['02.15.00', '02.16.00', '02.17.00']","[15, 19, 20]",15,18.0,3
2024-01-30,Tuesday,weekday,02,143.59217410118907,"['02.19.00', '02.20.00', '02.21.00']","[20, 18, 17]",20,18.33,3
2024-01-30,Tuesday,weekday,02,176.9503391538992,"['02.23.00', '02.24.00', '02.25.00', '02.26.00', '02.27.00', '02.28.00', '02.29.00']","[23, 21, 21, 21, 21, 18, 16]",23,20.14,7
2024-01-30,Tuesday,weekday,04,111.422778992414,"['04.43.00', '04.44.00', '04.45.00', '04.46.00']","[16, 15, 17, 18]",16,16.5,4
2024-01-30,Tuesday,weekday,04,135.0585405525839,"['04.51.00', '04.52.00', '04.53.00', '04.54.00', '04.55.00']","[19, 18, 17, 18, 17]",19,17.8,5
2024-01-30,Tuesday,weekday,04,132.56185169805028,"['04.59.00', '05.00.00', '05.01.00']","[17, 17, 16]",17,16.67,3
2024-01-30,Tuesday,weekday,05,117.05041556470424,"['05.03.00', '05.04.00']","[16, 15]",16,15.5,2
2024-01-30,Tuesday,weekday,06,165.94246597419928,"['06.01.00', '06.02.00']","[20, 20]",20,20.0,2
2024-01-30,Tuesday,weekday,06,165.7645418406306,"['06.04.00', '06.05.00', '06.06.00', '06.07.00']","[15, 15, 15, 15]",15,15.0,4
2024-01-30,Tuesday,weekday,06,105.23564060078743,"['06.15.00', '06.16.00']","[14, 19]",14,16.5,2
2024-01-30,Tuesday,weekday,07,164.2328656073842,"['07.42.00', '07.43.00', '07.44.00']","[17, 19, 13]",17,16.33,3
2024-01-30,Tuesday,weekday,07,129.67917013685164,"['07.50.00', '07.51.00']","[15, 16]",15,15.5,2
2024-01-30,Tuesday,weekday,08,164.29081238829227,"['08.01.00', '08.02.00']","[21, 25]",21,23.0,2
2024-01-30,Tuesday,weekday,08,108.57024227665156,"['08.09.00', '08.10.00', '08.11.00']","[16, 13, 15]",16,14.67,3
2024-01-30,Tuesday,weekday,08,181.0748539422725,"['08.26.00', '08.27.00']","[17, 17]",17,17.0,2
2024-01-30,Tuesday,weekday,10,134.33964175925126,"['10.58.00', '10.59.00', '11.00.00', '11.01.00', '11.02.00', '11.03.00', '11.04.00', '11.05.00', '11.06.00', '11.07.00', '11.08.00', '11.09.00', '11.10.00', '11.11.00', '11.12.00', '11.13.00', '11.14.00']","[19, 19, 22, 23, 28, 21, 24, 30, 26, 23, 19, 20, 28, 26, 24, 29, 26]",19,23.94,17
2024-01-30,Tuesday,weekday,11,137.29588251888384,"['11.24.00', '11.25.00', '11.26.00', '11.27.00', '11.28.00', '11.29.00', '11.30.00', '11.31.00', '11.32.00', '11.33.00']","[20, 17, 29, 28, 22, 25, 27, 23, 27, 20]",20,23.8,10
2024-01-30,Tuesday,weekday,12,119.26813659709424,"['12.26.00', '12.27.00', '12.28.00']","[14, 22, 23]",14,19.67,3
2024-01-30,Tuesday,weekday,12,141.27511185018272,"['12.41.00', '12.42.00']","[15, 15]",15,15.0,2
2024-01-30,Tuesday,weekday,13,143.6563641943458,"['13.09.00', '13.10.00']","[17, 18]",17,17.5,2
2024-01-30,Tuesday,weekday,13,100.7836730263276,"['13.12.00', '13.13.00', '13.14.00']","[16, 15, 23]",16,18.0,3
2024-01-30,Tuesday,weekday,13,185.8012530854155,"['13.20.00', '13.21.00']","[18, 19]",18,18.5,2
2024-01-30,Tuesday,weekday,13,155.9851661714203,"['13.55.00', '13.56.00']","[14, 18]",14,16.0,2
2024-01-30,Tuesday,weekday,14,137.0790067316827,"['14.36.00', '14.37.00']","[18, 18]",18,18.0,2
2024-01-30,Tuesday,weekday,15,114.08909039423392,"['15.02.00', '15.03.00', '15.04.00']","[15, 16, 14]",15,15.0,3
2024-01-30,Tuesday,weekday,15,125.42930450915452,"['15.10.00', '15.11.00']","[15, 15]",15,15.0,2
2024-01-30,Tuesday,weekday,15,120.73332996885348,"['15.13.00', '15.14.00']","[18, 17]",18,17.5,2
2024-01-30,Tuesday,weekday,17,120.64208566279736,"['17.05.00', '17.06.00']","[17, 20]",17,18.5,2
2024-01-30,Tuesday,weekday,18,111.19075056581376,"['18.06.00', '18.07.00']","[17, 19]",17,18.0,2
2024-01-30,Tuesday,weekday,18,114.08908528087623,"['18.26.00', '18.27.00']","[14, 15]",14,14.5,2
2024-01-30,Tuesday,weekday,18,150.44155138181225,"['18.30.00', '18.31.00']","[17, 18]",17,17.5,2
2024-01-30,Tuesday,weekday,20,103.2605810994774,"['20.50.00', '20.51.00', '20.52.00']","[14, 20, 19]",14,17.67,3
2024-01-30,Tuesday,weekday,20,149.41809521783952,"['20.59.00', '21.00.00']","[18, 14]",18,16.0,2
2024-01-30,Tuesday,weekday,23,128.47749730388094,"['23.22.00', '23.23.00']","[18, 17]",18,17.5,2
2024-01-30,Tuesday,weekday,23,155.2196588212758,"['23.33.00', '23.34.00']","[20, 17]",20,18.5,2
2024-01-30,Tuesday,weekday,23,180.1626810520045,"['23.49.00', '23.50.00']","[20, 15]",20,17.5,2
2024-01-30,Tuesday,weekday,23,139.81660275153746,"['23.52.00', '23.53.00', '23.54.00', '23.55.00']","[23, 23, 25, 22]",23,23.25,4
2024-01-30,Tuesday,weekday,23,130.8233097005494,"['23.57.00', '23.58.00']","[19, 19]",19,19.0,2
